cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,,
1.78E-05,43,84,96,,,
1.88E-05,23,44,96,,,
1.78E-05,1,19,96,,,
2.02E-05,29,30,94,,,
1.81E-05,1,8,88,,,
1.76E-05,9,75,88,,,
1.84E-05,21,33,87,,,
1.84E-05,25,79,85,,,
1.87E-05,33,51,80,,,
1.86E-05,9,22,80,,,
2.94E-05,22,14,76,,,
2.45E-05,23,34,76,,,
1.75E-05,27,8,82,,,
1.79E-05,16,65,85,,,
1.93E-05,34,81,84,,,
2.17E-05,8,21,82,,,
1.91E-05,93,37,92,,,
1.84E-05,8,33,97,,,
1.77E-05,37,65,92,,,
1.85E-05,23,60,92,,,
1.91E-05,1,15,101,,,
1.89E-05,8,78,101,,,
1.94E-05,9,39,100,,,
1.99E-05,25,26,100,,,
1.85E-05,34,28,103,,,
1.90E-05,13,59,100,,,
1.96E-05,14,41,103,,,
1.82E-05,11,66,101,,,
1.73E-05,12,126,129,,,
1.69E-05,28,0,131,,,
1.98E-05,34,19,137,,,
1.83E-05,37,22,139,,,
2.49E-05,14,71,142,,,
1.74E-05,34,145,147,,,
2.04E-05,91,27,141,,,
2.01E-05,35,38,143,,,
1.87E-05,31,40,152,,,
2.13E-05,92,12,152,,,
2.01E-05,24,33,133,,,
1.70E-05,40,127,130,,,
1.87E-05,29,28,129,,,
1.85E-05,19,32,129,,,
2.15E-05,23,72,135,,,
2.11E-05,38,96,141,,,
2.05E-05,6,70,141,,,
1.85E-05,15,23,131,,,
1.79E-05,15,21,126,,,
2.07E-05,44,60,124,,,
1.95E-05,37,88,128,,,
1.77E-05,18,14,137,,,
3.34E-05,3,145,148,,,
1.98E-05,17,108,142,,,
2.54E-05,44,68,145,,,
1.93E-05,34,51,153,,,
1.71E-05,39,4,152,,,
1.84E-05,28,134,155,,,
1.94E-05,8,54,162,,,
5.65E-05,94,65,168,,,
1.74E-05,43,153,167,,,
2.02E-05,92,89,158,,,
3.15E-05,40,17,170,,,
2.25E-05,13,78,168,,,
2.11E-05,92,90,168,,,
1.86E-05,40,14,169,,,
2.19E-05,6,116,172,,,
1.87E-05,17,161,169,,,
2.12E-05,94,100,168,,,
2.18E-05,32,78,169,,,
2.09E-05,13,128,176,,,
2.24E-05,6,95,184,,,
2.00E-05,17,56,188,,,
2.22E-05,30,106,189,,,
1.91E-05,33,138,193,,,
2.62E-05,26,60,195,,,
2.02E-05,24,78,190,,,
1.92E-05,34,51,191,,,
2.48E-05,30,119,204,,,
1.89E-05,24,25,205,,,
1.96E-05,29,188,197,,,
2.59E-05,15,92,205,,,
1.73E-05,38,6,223,,,
1.98E-05,9,150,221,,,
2.27E-05,19,86,222,,,
1.78E-05,30,221,229,,,
1.94E-05,9,54,225,,,
1.95E-05,30,56,220,,,
1.99E-05,92,12,223,,,
2.03E-05,3,81,223,,,
1.96E-05,34,59,224,,,
1.83E-05,93,34,225,,,
2.01E-05,30,73,224,,,
2.14E-05,37,134,221,,,
2.22E-05,4,94,223,,,
1.94E-05,17,154,225,,,
2.09E-05,38,115,227,,,
1.86E-05,30,178,221,,,
1.87E-05,44,33,220,,,
2.09E-05,44,117,218,,,
1.83E-05,44,34,219,,,
2.01E-05,91,129,211,,,
1.79E-05,3,179,206,,,
1.88E-05,24,42,205,,,
2.04E-05,21,136,205,,,
2.05E-05,32,87,208,,,
2.00E-05,43,134,224,,,
1.93E-05,13,56,226,,,
1.81E-05,17,220,225,,,
1.77E-05,20,192,210,,,
1.89E-05,25,166,221,,,
1.75E-05,22,14,214,,,
1.74E-05,36,7,216,,,
1.83E-05,5,183,211,,,
1.90E-05,94,156,216,,,
1.77E-05,94,8,214,,,
2.36E-05,24,31,216,,,
1.75E-05,3,195,215,,,
2.21E-05,31,72,219,,,
1.87E-05,7,166,219,,,
2.05E-05,95,116,199,,,
2.00E-05,34,26,201,,,
2.27E-05,4,95,204,,,
2.38E-05,40,39,203,,,
3.51E-05,91,195,204,,,
2.19E-05,32,78,203,,,
2.41E-05,42,184,199,,,
1.82E-05,33,156,186,,,
1.83E-05,28,20,190,,,
1.87E-05,8,135,185,,,
1.89E-05,31,117,182,,,
2.13E-05,4,23,184,,,
1.86E-05,5,153,181,,,
2.09E-05,13,75,180,,,
1.82E-05,40,30,178,,,
1.95E-05,39,142,175,,,
1.94E-05,18,104,174,,,
2.08E-05,22,57,179,,,
1.90E-05,23,41,182,,,
1.83E-05,36,142,182,,,
2.44E-05,7,39,184,,,
2.15E-05,94,75,184,,,
2.54E-05,9,74,182,,,
2.05E-05,9,74,188,,,
2.05E-05,32,88,187,,,
1.79E-05,41,22,186,,,
1.75E-05,45,187,195,,,
1.82E-05,30,170,198,,,
2.27E-05,95,102,200,,,
1.90E-05,42,27,174,,,
1.94E-05,7,38,176,,,
1.92E-05,95,133,171,,,
2.23E-05,17,103,173,,,
1.87E-05,2,148,178,,,
1.94E-05,24,111,181,,,
3.11E-05,30,109,182,,,
1.86E-05,21,40,180,,,
1.75E-05,18,168,182,,,
3.49E-05,94,72,185,,,
2.60E-05,21,8,185,,,
1.85E-05,38,7,186,,,
2.26E-05,18,167,185,,,
2.06E-05,14,63,186,,,
2.22E-05,41,95,194,,,
1.92E-05,30,122,194,,,
1.90E-05,4,176,205,,,
1.82E-05,19,22,211,,,
0.0001243,17,138,215,,,
2.07E-05,34,151,216,,,
1.78E-05,35,25,216,,,
3.40E-05,27,54,225,,,
2.37E-05,36,103,221,,,
2.03E-05,29,84,224,,,
1.81E-05,32,197,229,,,
1.74E-05,32,12,229,,,
2.03E-05,14,131,230,,,
1.97E-05,39,146,230,,,
2.99E-05,9,130,238,,,
2.09E-05,94,91,239,,,
1.94E-05,6,53,244,,,
1.85E-05,44,205,243,,,
2.01E-05,40,159,245,,,
1.95E-05,15,36,235,,,
2.75E-05,7,141,236,,,
1.98E-05,16,138,229,,,
2.06E-05,1,84,204,,,
1.79E-05,8,27,202,,,
2.08E-05,18,62,202,,,
1.74E-05,36,186,197,,,
2.10E-05,95,102,194,,,
3.18E-05,18,38,194,,,
2.01E-05,18,156,193,,,
3.01E-05,32,171,196,,,
1.84E-05,42,137,180,,,
1.76E-05,16,153,177,,,
1.75E-05,8,155,165,,,
2.63E-05,95,94,174,,,
1.76E-05,9,12,175,,,
1.95E-05,17,43,167,,,
2.13E-05,8,95,166,,,
2.67E-05,92,63,176,,,
1.79E-05,41,143,173,,,
2.24E-05,31,77,183,,,
1.87E-05,16,31,179,,,
5.19E-05,41,67,184,,,
1.87E-05,18,12,182,,,
2.10E-05,40,114,185,,,
1.74E-05,17,8,185,,,
1.98E-05,16,98,186,,,
1.90E-05,95,112,178,,,
1.71E-05,14,1,197,,,
1.71E-05,17,4,195,,,
1.90E-05,9,47,194,,,
2.06E-05,94,122,204,,,
1.80E-05,24,178,212,,,
2.15E-05,32,109,209,,,
1.99E-05,38,74,210,,,
2.01E-05,95,48,209,,,
1.78E-05,42,20,206,,,
1.95E-05,32,181,203,,,
2.19E-05,6,107,202,,,
1.87E-05,94,155,207,,,
1.88E-05,1,46,213,,,
4.28E-05,24,190,214,,,
1.80E-05,4,192,196,,,
3.37E-05,30,90,200,,,
1.88E-05,35,25,202,,,
3.08E-05,94,118,201,,,
1.96E-05,31,155,206,,,
1.96E-05,25,12,210,,,
1.95E-05,45,155,208,,,
1.80E-05,20,206,222,,,
1.92E-05,91,54,215,,,
2.07E-05,43,135,227,,,
1.83E-05,10,28,233,,,
1.91E-05,15,41,235,,,
3.32E-05,1,96,232,,,
2.00E-05,28,186,220,,,
2.09E-05,40,152,222,,,
2.65E-05,17,52,225,,,
2.06E-05,4,127,230,,,
2.53E-05,27,163,236,,,
2.46E-05,36,205,243,,,
2.17E-05,13,128,228,,,
2.22E-05,31,214,226,,,
1.94E-05,25,148,226,,,
1.79E-05,39,190,221,,,
2.79E-05,9,84,217,,,
2.16E-05,91,94,217,,,
1.87E-05,40,199,219,,,
1.90E-05,45,182,221,,,
2.90E-05,18,151,229,,,
1.82E-05,23,10,226,,,
2.11E-05,95,78,220,,,
1.91E-05,44,196,229,,,
1.80E-05,15,23,238,,,
1.88E-05,95,189,238,,,
1.94E-05,27,158,228,,,
2.08E-05,24,93,232,,,
1.73E-05,30,232,241,,,
1.96E-05,18,59,241,,,
1.76E-05,18,3,246,,,
2.12E-05,33,98,228,,,
1.84E-05,3,200,227,,,
1.84E-05,91,37,215,,,
1.94E-05,16,140,215,,,
1.94E-05,94,155,222,,,
2.72E-05,93,107,222,,,
1.92E-05,33,54,223,,,
2.20E-05,11,98,222,,,
2.49E-05,6,226,228,,,
2.09E-05,4,72,244,,,
2.17E-05,8,68,241,,,
2.03E-05,40,76,239,,,
2.61E-05,31,165,239,,,
1.95E-05,33,178,232,,,
1.92E-05,40,178,238,,,
1.89E-05,40,43,251,,,
1.93E-05,31,50,245,,,
1.91E-05,39,48,245,,,
1.97E-05,27,167,241,,,
1.72E-05,7,238,241,,,
2.20E-05,93,128,251,,,
1.72E-05,18,236,244,,,
1.72E-05,43,242,247,,,
1.74E-05,26,7,233,,,
1.98E-05,40,57,235,,,
2.07E-05,91,73,245,,,
2.04E-05,25,175,245,,,
2.50E-05,28,84,240,,,
2.05E-05,23,142,247,,,
1.95E-05,22,18,242,,,
2.19E-05,37,100,247,,,
1.97E-05,37,69,244,,,
2.12E-05,25,162,242,,,
1.77E-05,25,218,240,,,
