cas operacie,vybrane cislo,velkost frontu,,
1.30E-06,22,17,,
1.40E-06,30,17,,
4.00E-05,5,16,,
1.40E-06,28,15,,
1.30E-06,13,15,,
1.40E-06,5,14,,
1.30E-06,27,13,,
1.40E-06,3,14,,
1.30E-06,24,13,,
2.97E-05,24,12,,
1.40E-06,13,11,,
1.30E-06,35,11,,
1.30E-06,11,10,,
1.30E-06,26,9,,
1.30E-06,15,9,,
1.95E-05,10,8,,
1.30E-06,10,7,,
1.30E-06,35,11,,
1.30E-06,26,12,,
1.30E-06,15,15,,
1.30E-06,10,15,,
1.30E-06,8,15,,
3.50E-05,10,14,,
1.30E-06,14,16,,
1.40E-06,34,16,,
1.30E-06,30,17,,
1.30E-06,13,18,,
4.32E-05,34,17,,
1.30E-06,20,18,,
1.30E-06,3,17,,
1.30E-06,20,16,,
3.78E-05,28,15,,
1.30E-06,17,15,,
1.30E-06,31,14,,
1.30E-06,20,15,,
1.30E-06,15,14,,
1.30E-06,34,14,,
1.30E-06,24,14,,
1.80E-06,14,15,,
4.19E-05,24,14,,
1.30E-06,28,13,,
2.00E-06,23,12,,
1.30E-06,26,11,,
2.46E-05,34,10,,
4.50E-06,14,9,,
2.00E-06,15,8,,
1.60E-06,15,7,,
1.94E-05,26,6,,
1.40E-06,24,10,,
1.40E-06,28,15,,
1.30E-06,25,14,,
1.40E-06,17,14,,
1.40E-06,17,15,,
1.40E-06,2,15,,
3.59E-05,12,14,,
1.40E-06,33,13,,
1.30E-06,16,12,,
1.30E-06,33,12,,
2.75E-05,4,11,,
1.30E-06,29,10,,
1.30E-06,7,10,,
1.40E-06,17,12,,
1.30E-06,15,11,,
1.30E-06,34,11,,
1.30E-06,21,14,,
1.30E-06,22,14,,
1.40E-06,18,14,,
1.30E-06,28,15,,
1.30E-06,34,14,,
1.40E-06,13,14,,
1.40E-06,14,13,,
3.00E-05,29,12,,
1.30E-06,30,11,,
1.40E-06,11,10,,
1.30E-06,8,16,,
1.40E-06,12,17,,
1.30E-06,24,18,,
1.30E-06,23,17,,
1.40E-06,25,18,,
1.40E-06,3,22,,
1.30E-06,17,22,,
1.30E-06,19,21,,
1.40E-06,21,21,,
1.30E-06,3,21,,
1.30E-06,33,21,,
1.40E-06,21,21,,
1.30E-06,10,20,,
1.30E-06,19,22,,
1.30E-06,22,21,,
1.30E-06,18,24,,
1.30E-06,22,24,,
1.90E-06,6,23,,
1.30E-06,10,23,,
1.90E-06,12,24,,
8.74E-05,3,23,,
1.40E-06,7,22,,
1.30E-06,13,21,,
1.30E-06,31,20,,
4.91E-05,18,19,,
1.40E-06,2,20,,
1.30E-06,11,19,,
1.40E-06,11,20,,
1.30E-06,4,24,,
1.30E-06,16,23,,
1.30E-06,26,22,,
5.41E-05,20,21,,
1.30E-06,16,20,,
1.30E-06,7,19,,
1.30E-06,10,20,,
1.30E-06,3,20,,
1.30E-06,7,20,,
1.30E-06,5,19,,
4.57E-05,21,18,,
1.30E-06,25,17,,
1.40E-06,30,16,,
1.30E-06,22,19,,
1.30E-06,23,18,,
1.30E-06,26,18,,
1.40E-06,33,18,,
4.55E-05,29,18,,
1.30E-06,13,17,,
1.30E-06,6,16,,
1.30E-06,28,15,,
1.30E-06,1,16,,
3.80E-05,12,15,,
1.30E-06,9,15,,
2.20E-06,27,16,,
7.25E-05,11,16,,
3.10E-06,2,15,,
2.00E-06,6,16,,
2.10E-06,7,16,,
1.60E-06,33,15,,
2.00E-06,34,20,,
1.60E-06,19,19,,
1.80E-06,32,21,,
1.50E-06,29,20,,
1.60E-06,2,21,,
1.70E-06,29,20,,
6.57E-05,29,19,,
2.50E-06,10,19,,
1.70E-06,8,18,,
1.70E-06,31,17,,
5.27E-05,24,16,,
1.60E-06,25,16,,
2.20E-06,31,22,,
1.60E-06,13,21,,
2.10E-06,25,21,,
6.69E-05,33,20,,
1.60E-06,13,19,,
2.40E-06,33,27,,
2.10E-06,7,27,,
1.40E-06,26,26,,
1.40E-06,20,25,,
1.30E-06,11,27,,
1.40E-06,14,27,,
