cas operacie,vlozene cislo,index prvku,dlzka zoznamu,
3e-07,17,50,51,
2e-07,34,52,53,
2e-07,16,45,46,
2e-07,20,46,47,
3e-07,19,47,48,
3e-07,13,47,48,
2e-07,29,47,48,
3e-07,16,47,48,
3e-07,12,45,46,
2e-07,41,45,46,
2e-07,36,42,43,
2e-07,7,37,38,
2e-07,17,37,38,
3e-07,29,37,38,
3e-07,10,38,39,
3e-07,25,35,36,
3e-07,32,35,36,
3e-07,6,39,40,
3e-07,19,40,41,
3e-07,1,38,39,
2e-07,18,39,40,
3e-07,23,24,25,
2e-07,24,20,21,
3e-07,3,20,21,
3e-07,25,18,19,
3e-07,8,19,20,
2e-07,19,18,19,
3e-07,20,19,20,
4e-07,39,20,21,
3e-07,4,21,22,
2e-07,21,22,23,
3e-07,15,22,23,
2e-07,24,24,25,
2e-07,44,27,28,
3e-07,10,28,29,
3e-07,12,31,32,
3e-07,45,31,32,
2e-07,7,31,32,
2e-07,33,32,33,
3e-07,35,33,34,
4e-07,21,35,36,
3e-07,19,34,35,
3e-07,11,35,36,
3e-07,15,37,38,
3e-07,13,40,41,
3e-07,43,35,36,
2e-07,4,36,37,
2e-07,27,37,38,
3e-07,20,38,39,
3e-07,19,33,34,
2e-07,14,31,32,
2e-07,16,32,33,
3e-07,6,31,32,
2e-07,21,30,31,
2e-07,14,28,29,
3e-07,25,29,30,
3e-07,18,29,30,
2e-07,19,29,30,
2e-07,22,30,31,
2e-07,30,30,31,
3e-07,33,31,32,
2e-07,13,30,31,
2e-07,24,34,35,
3e-07,33,34,35,
3e-07,7,32,33,
3e-07,6,34,35,
2e-07,19,34,35,
3e-07,3,30,31,
3e-07,43,29,30,
3e-07,12,26,27,
3e-07,35,29,30,
3e-07,4,29,30,
3e-07,25,21,22,
2e-07,8,20,21,
3e-07,6,20,21,
2e-07,42,21,22,
3e-07,38,22,23,
3e-07,3,23,24,
3e-07,39,24,25,
3e-07,4,24,25,
2e-07,15,23,24,
6e-07,33,22,23,
3e-07,33,17,18,
3e-07,5,17,18,
5e-07,43,17,18,
3e-07,33,15,16,
2e-07,12,16,17,
3e-07,20,17,18,
3e-07,42,18,19,
2e-07,21,15,16,
3e-07,42,18,19,
3e-07,41,15,16,
3e-07,20,15,16,
3e-07,2,15,16,
6e-07,36,16,17,
9e-07,13,15,16,
4e-07,27,16,17,
3e-07,36,18,19,
2e-07,23,19,20,
3e-07,7,20,21,
3e-07,40,21,22,
3e-07,44,23,24,
3e-07,11,18,19,
2e-07,17,18,19,
3e-07,18,19,20,
3e-07,23,21,22,
3e-07,3,24,25,
3e-07,7,26,27,
2e-07,43,26,27,
3e-07,5,26,27,
3e-07,45,27,28,
3e-07,19,24,25,
3e-07,12,26,27,
3e-07,11,20,21,
3e-07,32,21,22,
3e-07,35,22,23,
2e-07,8,20,21,
3e-07,36,20,21,
3e-07,8,22,23,
2e-07,1,19,20,
3e-07,39,20,21,
3e-07,15,20,21,
3e-07,2,21,22,
3e-07,5,20,21,
3e-07,22,20,21,
3e-07,12,21,22,
3e-07,12,21,22,
2e-07,17,22,23,
3e-07,10,25,26,
3e-07,7,25,26,
3e-07,45,25,26,
3e-07,36,20,21,
3e-07,22,21,22,
2e-07,22,23,24,
3e-07,4,18,19,
3e-07,21,16,17,
2e-07,16,16,17,
3e-07,43,12,13,
2e-07,13,9,10,
2e-07,24,10,11,
2e-07,25,11,12,
3e-07,42,12,13,
3e-07,7,12,13,
2e-07,1,11,12,
3e-07,24,12,13,
3e-07,17,15,16,
3e-07,12,17,18,
3e-07,17,15,16,
3e-07,15,18,19,
3e-07,43,17,18,
3e-07,14,19,20,
3e-07,42,19,20,
3e-07,40,20,21,
2e-07,30,20,21,
3e-07,16,18,19,
3e-07,36,19,20,
2e-07,23,11,12,
2e-07,24,12,13,
3e-07,31,12,13,
3e-07,35,15,16,
3e-07,4,16,17,
3e-07,33,13,14,
3e-07,27,14,15,
2e-07,34,6,7,
2e-07,41,2,3,
3e-07,3,1,2,
3e-07,27,1,2,
3e-07,14,2,3,
2e-07,26,1,2,
3e-07,18,2,3,
3e-07,38,3,4,
3e-07,9,0,1,
2e-07,45,1,2,
3e-07,30,1,2,
3e-07,10,3,4,
3e-07,18,5,6,
2e-07,25,6,7,
3e-07,3,7,8,
2e-07,35,8,9,
3e-07,31,0,1,
3e-07,6,0,1,
3e-07,44,1,2,
3e-07,6,0,1,
2e-07,21,1,2,
3e-07,7,1,2,
3e-07,31,2,3,
3e-07,11,5,6,
3e-07,18,7,8,
3e-07,34,8,9,
3e-07,12,10,11,
3e-07,4,10,11,
2e-07,37,6,7,
3e-07,8,5,6,
3e-07,27,6,7,
2e-07,34,7,8,
3e-07,14,6,7,
3e-07,12,7,8,
2e-07,16,2,3,
3e-07,38,4,5,
2e-07,33,5,6,
3e-07,1,6,7,
3e-07,23,7,8,
3e-07,31,6,7,
3e-07,31,5,6,
3e-07,10,6,7,
2e-07,31,7,8,
2e-07,3,9,10,
3e-07,28,10,11,
3e-07,28,10,11,
3e-07,40,11,12,
3e-07,10,10,11,
3e-07,29,12,13,
2e-07,4,16,17,
3e-07,21,19,20,
3e-07,39,17,18,
2e-07,39,17,18,
2e-07,44,18,19,
3e-07,9,14,15,
2e-07,44,15,16,
3e-07,30,17,18,
3e-07,6,17,18,
2e-07,20,19,20,
2e-07,17,18,19,
3e-07,45,18,19,
2e-07,35,19,20,
3e-07,20,20,21,
3e-07,5,19,20,
3e-07,8,17,18,
3e-07,12,16,17,
3e-07,24,17,18,
2e-07,24,18,19,
3e-07,21,23,24,
3e-07,35,26,27,
3e-07,21,31,32,
1e-06,8,33,34,
7e-07,8,33,34,
3e-07,32,34,35,
4e-07,3,33,34,
2e-07,35,35,36,
3e-07,22,36,37,
2e-07,2,37,38,
3e-07,24,36,37,
5e-07,14,30,31,
3e-07,19,29,30,
3e-07,37,29,30,
2e-07,25,30,31,
3e-07,16,30,31,
3e-07,17,32,33,
3e-07,38,31,32,
3e-07,43,27,28,
3e-07,1,25,26,
3e-07,36,27,28,
3e-07,33,24,25,
3e-07,35,19,20,
3e-07,29,20,21,
3e-07,2,21,22,
3e-07,6,22,23,
3e-07,2,23,24,
3e-07,42,19,20,
3e-07,20,19,20,
3e-07,34,19,20,
3e-07,30,17,18,
3e-07,42,18,19,
3e-07,10,20,21,
3e-07,45,18,19,
2e-07,17,20,21,
2e-07,31,21,22,
3e-07,42,27,28,
2e-07,24,25,26,
3e-07,10,26,27,
3e-07,29,24,25,
3e-07,15,26,27,
4e-07,25,20,21,
3e-07,7,20,21,
3e-07,31,20,21,
1.8e-06,17,21,22,
3e-07,45,20,21,
3e-07,30,21,22,
2e-07,7,22,23,
3e-07,31,23,24,
3e-07,17,25,26,
2e-07,6,26,27,
3e-07,4,28,29,
3e-07,12,28,29,
2e-07,20,29,30,
3e-07,18,29,30,
2e-07,34,29,30,
3e-07,34,30,31,
2e-07,30,28,29,
3e-07,27,29,30,
3e-07,5,29,30,
3e-07,44,28,29,
3e-07,23,28,29,
3e-07,22,29,30,
3e-07,27,31,32,
3e-07,2,32,33,
3e-07,16,35,36,
3e-07,10,32,33,
3e-07,24,32,33,
3e-07,43,34,35,
3e-07,10,35,36,
3e-07,5,40,41,
3e-07,45,40,41,
3e-07,27,41,42,
3e-07,21,42,43,
3e-07,1,33,34,
2e-07,21,27,28,
2e-07,19,30,31,
2e-07,1,29,30,
3e-07,6,30,31,
3e-07,20,27,28,
2e-07,13,30,31,
3e-07,29,31,32,
2e-07,23,34,35,
