cas operacie,index prvku,dlzka zoznamu,
3e-07,13,18,
2e-07,7,18,
4e-07,17,22,
3e-07,11,20,
2e-07,5,19,
3e-07,7,17,
3e-07,6,20,
3e-07,16,19,
2e-07,1,20,
3e-07,11,19,
4e-07,15,18,
2e-07,4,25,
3e-07,7,25,
2e-07,0,23,
4e-07,23,28,
2e-07,2,25,
3e-07,23,24,
2e-07,9,22,
3e-07,18,23,
4e-07,21,24,
2e-07,8,22,
3e-07,9,23,
3e-07,11,19,
2e-07,10,21,
3e-07,0,22,
4e-07,14,23,
3e-07,21,23,
3e-07,11,28,
4e-07,19,27,
2e-07,0,27,
3e-07,12,29,
3e-07,16,28,
2e-07,4,30,
3e-07,11,29,
4e-07,24,27,
3e-07,17,29,
3e-07,12,27,
4e-07,17,28,
4e-07,23,34,
2e-07,6,35,
4e-07,25,34,
3e-07,12,34,
4e-07,27,32,
3e-07,15,31,
2e-07,4,31,
4e-07,27,40,
3e-07,0,40,
3e-07,17,42,
5e-07,39,44,
5e-07,35,44,
5e-07,34,42,
3e-07,20,42,
5e-07,38,40,
4e-07,37,39,
3e-07,7,36,
3e-07,17,33,
3e-07,20,32,
2e-07,6,30,
4e-07,22,30,
3e-07,14,29,
3e-07,9,34,
4e-07,21,37,
3e-07,23,35,
5e-07,28,35,
3e-07,11,32,
3e-07,2,31,
3e-07,7,32,
4e-07,19,35,
3e-07,12,33,
3e-07,11,31,
3e-07,19,33,
3e-07,19,32,
3e-07,13,28,
3e-07,5,27,
3e-07,24,27,
3e-07,3,26,
4e-07,14,25,
4e-07,19,26,
3e-07,14,25,
3e-07,21,25,
3e-07,10,23,
3e-07,12,24,
2e-07,8,22,
3e-07,11,20,
4e-07,0,20,
5e-07,17,22,
4e-07,15,20,
3e-07,16,19,
3e-07,5,20,
3e-07,10,20,
3e-07,7,18,
2e-07,2,19,
3e-07,15,16,
2e-07,3,11,
2e-07,5,9,
2e-07,7,9,
3e-07,5,8,
4e-07,8,16,
3e-07,5,15,
4e-07,10,16,
4e-07,7,15,
5e-07,9,18,
4e-07,7,18,
4e-07,14,24,
3e-07,1,25,
3e-07,1,28,
3e-07,12,27,
2e-07,9,30,
3e-07,7,31,
5e-07,21,25,
4e-07,15,25,
4e-07,18,24,
4e-07,21,25,
3e-07,7,27,
5e-07,18,25,
4e-07,1,25,
5e-07,15,24,
5e-07,19,24,
3e-07,7,31,
3e-07,0,25,
4e-07,0,21,
4e-07,7,18,
3e-07,7,17,
6e-07,8,17,
2e-07,0,17,
4e-07,10,15,
4e-07,11,16,
3e-07,11,15,
5e-07,16,17,
3e-07,2,17,
3e-07,0,17,
3e-07,0,15,
4e-07,5,12,
5e-07,3,11,
3e-07,0,11,
3e-07,6,9,
3e-07,6,9,
3e-07,4,8,
3e-07,6,7,
3e-07,2,6,
4e-07,2,3,
3e-07,3,4,
3e-07,0,4,
3e-07,0,3,
3e-07,5,6,
4e-07,4,5,
3e-07,1,4,
2e-07,1,3,
4e-07,1,2,
2e-07,0,1,
3e-07,0,2,
3e-07,2,3,
4e-07,0,2,
3e-07,3,6,
4e-07,5,12,
4e-07,3,8,
3e-07,3,7,
4e-07,5,6,
4e-07,1,5,
4e-07,1,6,
3e-07,0,4,
3e-07,1,3,
3e-07,3,8,
3e-07,0,7,
4e-07,7,9,
3e-07,5,9,
3e-07,7,11,
4e-07,6,8,
4e-07,2,10,
3e-07,7,9,
4e-07,6,7,
3e-07,1,5,
3e-07,4,7,
3e-07,0,5,
4e-07,2,5,
4e-07,2,5,
3e-07,1,5,
3e-07,1,8,
3e-07,5,7,
3e-07,3,8,
4e-07,5,9,
3e-07,9,10,
4e-07,4,10,
3e-07,0,10,
3e-07,4,6,
4e-07,1,6,
3e-07,7,12,
4e-07,10,12,
3e-07,2,15,
3e-07,9,14,
3e-07,1,12,
3e-07,3,10,
3e-07,4,9,
3e-07,4,8,
3e-07,5,7,
3e-07,3,11,
4e-07,13,14,
4e-07,0,10,
4e-07,0,6,
3e-07,3,4,
4e-07,4,6,
4e-07,2,5,
4e-07,6,9,
4e-07,7,13,
4e-07,9,12,
3e-07,3,16,
5e-07,13,15,
3e-07,2,12,
3e-07,4,13,
4e-07,3,12,
4e-07,0,10,
3e-07,4,7,
3e-07,5,6,
3e-07,3,5,
3e-07,3,6,
3e-07,1,14,
2e-07,0,10,
3e-07,4,8,
2e-07,1,16,
4e-07,12,16,
2e-07,0,15,
4e-07,15,18,
2e-07,8,16,
3e-07,5,19,
3e-07,11,18,
2e-07,6,16,
2e-07,5,16,
3e-07,12,18,
3e-07,14,18,
3e-07,2,21,
2e-07,0,21,
3e-07,14,21,
3e-07,6,20,
3e-07,1,22,
2e-07,3,21,
2e-07,7,21,
3e-07,6,20,
2e-07,1,18,
4e-07,11,16,
3e-07,10,19,
2e-07,2,18,
4e-07,12,18,
3e-07,10,18,
4e-07,14,16,
3e-07,11,16,
2e-07,5,12,
3e-07,3,11,
3e-07,6,10,
2e-07,2,11,
2e-07,3,17,
3e-07,4,16,
2e-07,2,16,
3e-07,12,16,
2e-07,12,18,
3e-07,11,20,
3e-07,9,19,
3e-07,14,19,
3e-07,10,17,
3e-07,9,15,
4e-07,14,16,
3e-07,8,15,
3e-07,0,15,
3e-07,8,14,
3e-07,12,13,
3e-07,2,13,
3e-07,1,12,
2e-07,2,11,
3e-07,3,10,
2e-07,5,6,
3e-07,2,5,
2e-07,4,5,
3e-07,0,6,
2e-07,0,4,
3e-07,1,3,
2e-07,0,3,
3e-07,1,7,
2e-07,0,5,
2e-07,0,3,
2e-07,1,5,
3e-07,1,4,
2e-07,4,5,
3e-07,3,7,
2e-07,0,8,
2e-07,1,6,
4e-07,10,12,
3e-07,7,11,
3e-07,6,11,
3e-07,4,10,
2e-07,4,6,
2e-07,1,4,
3e-07,2,5,
3e-07,5,10,
3e-07,4,9,
2e-07,7,8,
4e-07,8,9,
3e-07,2,9,
3e-07,6,9,
2e-07,0,7,
3e-07,5,6,
2e-07,3,5,
3e-07,0,3,
3e-07,2,5,
3e-07,2,4,
2e-07,1,3,
2e-07,0,1,
2e-07,0,0,
2e-07,0,0,
3e-07,1,2,
2e-07,0,1,
2e-07,0,6,
2e-07,0,10,
3e-07,1,11,
3e-07,5,12,
3e-07,3,8,
2e-07,3,4,
3e-07,0,0,
2e-07,0,2,
2e-07,5,7,
2e-07,1,7,
2e-07,2,7,
2e-07,2,5,
3e-07,0,6,
2e-07,0,5,
5e-07,1,4,
2e-07,1,5,
3e-07,3,5,
3e-07,1,6,
3e-07,2,5,
5e-07,2,5,
3e-07,1,3,
4e-07,1,4,
2e-07,0,0,
5e-07,0,1,
4e-07,0,2,
6e-07,0,4,
3e-07,1,2,
4e-07,0,3,
6e-07,6,7,
3e-07,1,7,
3e-07,3,8,
4e-07,0,9,
4e-07,3,8,
4e-07,3,9,
5e-07,1,8,
3e-07,1,8,
4e-07,3,6,
3e-07,5,6,
3e-07,5,6,
4e-07,2,8,
4e-07,3,5,
3e-07,3,6,
3e-07,4,9,
3e-07,1,9,
2e-07,3,7,
5e-07,5,9,
3e-07,5,12,
4e-07,10,11,
3e-07,6,9,
4e-07,6,11,
4e-07,2,19,
4e-07,3,18,
3e-07,7,17,
3e-07,2,17,
2e-07,3,18,
4e-07,5,27,
4e-07,13,33,
4e-07,14,36,
4e-07,17,33,
3e-07,1,35,
5e-07,22,34,
