cas operacie,vlozene cislo,index prvku,dlzka zoznamu,
1e-07,0,0,35,
2e-07,9,9,28,
2e-07,12,12,28,
4e-07,27,27,28,
3e-07,23,23,29,
2e-07,6,6,36,
1e-07,2,2,35,
1e-07,3,3,35,
1e-07,7,7,33,
2e-07,5,5,36,
4e-07,36,36,37,
3e-07,24,24,38,
2e-07,2,2,37,
2e-07,9,9,35,
2e-07,2,2,35,
2e-07,7,7,38,
2e-07,9,9,44,
2e-07,15,15,45,
1e-07,1,1,45,
1e-07,2,2,38,
3e-07,15,15,33,
2e-07,15,15,32,
3e-07,18,18,35,
3e-07,23,23,39,
3e-07,17,17,39,
3e-07,29,29,35,
2e-07,2,2,42,
1e-07,2,2,42,
1e-07,2,2,41,
2e-07,20,20,41,
2e-07,18,18,42,
6e-07,30,30,39,
4e-07,30,30,34,
3e-07,17,17,32,
3e-07,27,27,28,
2e-07,10,10,27,
3e-07,6,6,32,
1e-07,0,0,27,
1e-07,2,2,27,
3e-07,5,5,36,
2e-07,25,25,37,
2e-07,10,10,41,
1e-07,5,5,40,
4e-07,35,35,43,
2e-07,3,3,42,
3e-07,37,37,42,
1e-07,0,0,43,
4e-07,39,39,43,
1e-07,8,8,44,
2e-07,7,7,46,
4e-07,30,30,45,
4e-07,42,42,45,
2e-07,17,17,44,
1e-07,4,4,53,
5e-07,44,44,53,
3e-07,23,23,54,
2e-07,4,4,55,
4e-07,36,36,55,
2e-07,2,2,55,
4e-07,44,44,55,
3e-07,29,29,54,
4e-07,41,41,52,
2e-07,1,1,56,
4e-07,34,34,58,
1e-07,2,2,57,
1e-07,7,7,60,
4e-07,46,46,59,
2e-07,7,7,59,
2e-07,6,6,60,
2e-07,7,7,64,
4e-07,35,35,66,
2e-07,0,0,68,
2e-07,12,12,64,
3e-07,22,22,56,
3e-07,12,12,54,
4e-07,37,37,57,
2e-07,12,12,55,
1e-07,3,3,51,
1e-07,4,4,41,
3e-07,21,21,41,
1e-07,2,2,40,
3e-07,24,24,41,
1e-07,1,1,42,
