cas operacie,cislo,index prvku,dlzka zoznamu,
4e-07,95,44,83,
5e-07,94,60,88,
5e-07,91,60,87,
4e-07,93,42,89,
6e-07,91,67,75,
4e-07,93,40,75,
7e-07,95,76,89,
4e-07,91,44,96,
3e-07,93,23,98,
1e-07,95,6,104,
6e-07,94,60,108,
2e-07,94,18,106,
3e-07,93,25,100,
6e-07,91,55,92,
4e-07,93,38,84,
5e-07,92,63,85,
5e-07,94,55,87,
7e-07,91,71,81,
2e-07,92,10,84,
6e-07,95,63,82,
3e-07,95,21,79,
2e-07,93,14,81,
6e-07,92,58,83,
5e-07,92,49,82,
3e-07,95,15,81,
3e-07,94,14,92,
8e-07,91,84,86,
2e-07,93,11,84,
5e-07,95,51,86,
3e-07,94,16,90,
3e-07,91,20,91,
3e-07,93,25,86,
1e-07,92,3,87,
3e-07,92,30,85,
4e-07,92,41,87,
4e-07,93,32,110,
6e-07,93,70,116,
3e-07,91,30,123,
5e-07,91,46,120,
8e-07,94,111,119,
2e-07,94,13,133,
7e-07,95,78,141,
1.1e-06,93,135,146,
8e-07,91,86,144,
3e-07,92,29,133,
6e-07,92,54,134,
8e-07,93,95,134,
8e-07,92,107,133,
6e-07,91,61,144,
9e-07,94,117,142,
6e-07,91,60,137,
8e-07,91,91,137,
4e-07,95,32,137,
8e-07,95,95,127,
2e-07,94,8,134,
6e-07,93,63,135,
5e-07,91,63,135,
1.1e-06,92,134,136,
3e-07,93,25,137,
7e-07,95,72,142,
6e-07,93,65,142,
8e-07,93,99,148,
1.1e-06,91,143,155,
6e-07,93,75,145,
1.1e-06,93,141,144,
5e-07,93,58,146,
1.2e-06,94,153,155,
8e-07,94,97,156,
2e-07,95,6,151,
1.2e-06,91,156,161,
5e-07,91,56,170,
8e-07,91,98,170,
1.1e-06,95,137,172,
2e-07,95,15,169,
8e-07,94,88,177,
1.3e-06,91,147,174,
1.2e-06,91,150,175,
3e-07,95,19,177,
6e-07,95,51,165,
8e-07,92,67,164,
