cas operacie,vlozene cislo,priorita,velkost frontu,,,,,,,,
4.85E-05,34,8288,17,,,,,0.0000388,26,4713,3
8.17E-05,16,9872,18,,,,,0.000039,17,4949,3
6.18E-05,18,6443,16,,,,,0.0000393,12,2245,3
5.35E-05,6,6298,15,,,,,0.0000387,31,9546,3
5.29E-05,27,370,16,,,,,0.0000387,29,4038,3
5.27E-05,31,3974,17,,,,,0.0000388,33,308,3
5.36E-05,29,2138,18,,,,,0.000045,19,1087,3
5.14E-05,22,4533,18,,,,,0.0000414,3,6929,3
5.11E-05,21,3436,16,,,,,0.0000486,1,4577,3
4.99E-05,20,3900,17,,,,,0.0000497,4,1566,3
5.01E-05,2,3503,18,,,,,0.0000488,24,1919,3
5.13E-05,6,8628,19,,,,,0.0000534,32,8312,3
7.12E-05,21,8497,17,,,,,0.0000391,16,8790,3
5.11E-05,15,8766,18,,,,,0.0000389,5,6359,3
5.09E-05,6,6012,16,,,,,0.0000387,17,7731,3
5.39E-05,22,3993,17,,,,,0.0000429,10,8977,3
5.67E-05,17,5962,17,,,,,0.0000794,28,4628,3
5.43E-05,5,3706,18,,,,,0.0000489,1,9404,3
5.55E-05,17,3203,19,,,,,0.0000597,24,1684,3
5.60E-05,17,5296,19,,,,,0.0000386,33,3187,3
5.61E-05,35,8073,18,,,,,0.0000388,8,2495,3
5.65E-05,30,6075,19,,,,,0.0000387,9,8513,3
5.46E-05,34,4252,20,,,,,0.0000387,32,4967,3
3.92E-05,18,4966,20,,,,,0.0000387,29,9095,3
4.94E-05,8,808,19,,,,,0.0000388,28,2477,3
5.13E-05,2,2534,20,,,,,0.0000388,18,103,3
4.93E-05,21,6294,20,,,,,0.000039,3,6085,3
4.85E-05,32,7637,21,,,,,0.0000388,32,686,3
0.000106,9,5398,22,,,,,0.0000378,12,6897,3
3.93E-05,17,9232,23,,,,,0.000038,10,657,3
3.90E-05,17,8041,24,,,,,0.0000385,22,2165,3
0.0001198,18,919,23,,,,,0.0000431,20,6038,3
3.90E-05,18,891,15,,,,,0.0000385,9,325,3
3.86E-05,4,7313,16,,,,,0.0000386,28,932,3
3.89E-05,18,1075,17,,,,,0.0000377,33,5456,3
3.87E-05,11,430,18,,,,,0.0000394,24,8123,3
3.87E-05,10,9678,19,,,,,0.0000388,17,3460,3
5.04E-05,5,3845,16,,,,,0.000038,9,6197,3
4.82E-05,23,5268,16,,,,,0.0000455,29,4971,3
3.87E-05,2,1461,15,,,,,0.0000392,26,2184,3
3.87E-05,16,1746,14,,,,,0.0000495,21,6816,3
3.87E-05,28,2089,15,,,,,0.0000454,7,9185,3
3.88E-05,12,2301,15,,,,,0.0004862,28,1550,3
4.96E-05,12,5083,15,,,,,0.0000487,31,1014,3
3.90E-05,34,2710,14,,,,,0.0000505,34,7000,3
3.87E-05,15,4502,15,,,,,0.0000501,22,2783,3
3.86E-05,27,2680,16,,,,,0.0000389,34,1808,3
6.37E-05,17,6671,17,,,,,0.0000389,12,100,3
0.0001053,11,158,18,,,,,0.0000387,9,1237,3
3.86E-05,24,925,19,,,,,0.0000391,31,1366,3
3.87E-05,7,2402,19,,,,,0.0000391,30,7778,3
3.91E-05,3,6217,19,,,,,0.0000399,20,2816,3
3.90E-05,8,8417,20,,,,,0.0001258,27,3913,3
3.94E-05,23,2629,21,,,,,0.0000721,28,871,3
3.93E-05,7,5764,22,,,,,0.0000658,21,1854,3
3.91E-05,19,6501,23,,,,,0.0000511,27,2538,3
3.92E-05,1,4279,24,,,,,0.0000451,16,2052,3
0.0001057,34,1583,25,,,,,0.0000526,2,7871,3
0.0001329,6,234,24,,,,,0.0000584,5,8823,3
4.90E-05,22,8777,25,,,,,0.0000512,11,3389,3
