cas operacie,cislo,velkost frontu,,,,,,,
2.88E-05,15,15,,,,,0.000034,24,2
2.34E-05,15,15,,,,,0.0000352,24,2
2.33E-05,15,15,,,,,0.0000359,24,2
2.33E-05,15,15,,,,,0.0000347,24,2
2.32E-05,15,15,,,,,0.0000392,24,2
2.31E-05,15,14,,,,,0.0000238,24,2
2.34E-05,15,15,,,,,0.0000293,24,2
2.35E-05,15,17,,,,,0.0000319,24,2
2.32E-05,15,17,,,,,0.0000321,24,2
2.33E-05,15,17,,,,,0.0000319,24,2
2.32E-05,15,19,,,,,0.0000323,24,2
2.34E-05,15,19,,,,,0.0000235,24,2
2.38E-05,15,19,,,,,0.0000235,24,2
2.35E-05,15,25,,,,,0.0000234,24,2
3.05E-05,15,23,,,,,0.0000233,24,2
3.18E-05,15,25,,,,,0.0000234,24,2
3.02E-05,15,30,,,,,0.0000314,24,2
3.02E-05,15,30,,,,,0.0000337,24,2
2.70E-05,15,26,,,,,0.0000328,24,2
2.90E-05,15,26,,,,,0.0000335,24,2
2.36E-05,15,26,,,,,0.0000329,24,2
2.34E-05,15,26,,,,,0.0000326,24,2
2.32E-05,15,26,,,,,0.0000299,24,2
0.0004831,15,27,,,,,0.0000322,24,2
3.16E-05,15,26,,,,,0.0000321,24,2
2.93E-05,15,25,,,,,0.0000236,24,2
2.74E-05,15,27,,,,,0.0000236,24,2
3.81E-05,15,27,,,,,0.0000237,24,2
2.97E-05,15,29,,,,,0.0000288,24,2
2.99E-05,15,30,,,,,0.0000282,24,2
2.87E-05,15,30,,,,,0.0001533,24,2
2.92E-05,15,30,,,,,0.0000313,24,2
3.01E-05,15,31,,,,,0.0000299,24,2
2.92E-05,15,31,,,,,0.0000282,24,2
3.12E-05,15,29,,,,,0.0000291,24,2
3.77E-05,15,30,,,,,0.0000338,24,2
3.32E-05,15,30,,,,,0.0000256,24,2
3.78E-05,15,31,,,,,0.0000256,24,2
2.84E-05,15,28,,,,,0.0000254,24,2
3.04E-05,15,28,,,,,0.0000243,24,2
2.79E-05,15,29,,,,,0.0000236,24,2
3.22E-05,15,30,,,,,0.0000234,10,2
3.24E-05,15,29,,,,,0.0000236,10,2
2.32E-05,15,28,,,,,0.0000233,10,2
2.36E-05,15,28,,,,,0.0000237,10,2
2.35E-05,15,30,,,,,0.0000329,10,2
2.32E-05,15,31,,,,,0.0000238,10,2
2.33E-05,15,30,,,,,0.0000236,10,2
2.36E-05,15,27,,,,,0.0000234,10,2
2.36E-05,15,26,,,,,0.0000236,10,2
2.32E-05,15,26,,,,,0.0000373,10,2
2.33E-05,15,24,,,,,0.0000302,10,2
2.37E-05,15,23,,,,,0.0000291,10,2
2.35E-05,15,23,,,,,0.0000235,10,2
2.33E-05,15,21,,,,,0.0000233,10,2
2.34E-05,15,22,,,,,0.0000234,10,2
2.33E-05,15,23,,,,,0.0000319,10,2
2.32E-05,15,21,,,,,0.0000359,10,2
2.33E-05,15,19,,,,,0.0000236,10,2
2.32E-05,15,19,,,,,0.0000235,10,2
2.33E-05,15,17,,,,,0.0000233,10,2
2.33E-05,15,17,,,,,0.0000232,10,2
2.31E-05,15,17,,,,,0.0000304,10,2
2.30E-05,15,17,,,,,0.0000235,10,2
2.34E-05,15,17,,,,,0.0000322,10,2
2.33E-05,15,17,,,,,0.0000306,10,2
3.54E-05,15,15,,,,,0.0001149,10,2
2.35E-05,15,13,,,,,0.0000237,10,2
2.36E-05,15,13,,,,,0.0000237,10,2
2.35E-05,15,15,,,,,0.0000234,10,2
3.03E-05,15,16,,,,,0.0000233,10,2
2.97E-05,15,16,,,,,0.0000231,10,2
2.66E-05,15,15,,,,,0.0000233,10,2
3.04E-05,15,13,,,,,0.0000234,10,2
3.33E-05,15,12,,,,,0.0000235,10,2
2.83E-05,15,12,,,,,0.0000235,10,2
2.67E-05,15,12,,,,,0.0000231,10,2
3.10E-05,15,8,,,,,0.0000233,10,2
3.21E-05,15,8,,,,,0.0000231,10,2
2.37E-05,15,7,,,,,0.0000231,10,2
2.37E-05,15,7,,,,,0.0000232,10,2
2.36E-05,15,6,,,,,0.0000233,10,2
2.36E-05,15,5,,,,,0.0000326,10,2
3.68E-05,15,4,,,,,0.0000298,10,2
2.38E-05,15,3,,,,,0.0000235,10,2
2.36E-05,15,3,,,,,0.0000234,10,2
2.36E-05,15,3,,,,,0.0000237,10,2
2.37E-05,15,3,,,,,0.0000269,10,2
2.35E-05,15,3,,,,,0.0000273,10,2
2.34E-05,15,3,,,,,0.0000271,10,2
2.36E-05,15,6,,,,,0.0000283,10,2
2.34E-05,15,6,,,,,0.0000319,10,2
2.35E-05,15,4,,,,,0.0000235,10,2
2.34E-05,15,5,,,,,0.0000236,10,2
2.37E-05,15,5,,,,,0.0000289,10,2
3.15E-05,15,2,,,,,0.0000241,10,2
3.09E-05,15,1,,,,,0.0000305,10,2
2.36E-05,15,2,,,,,0.0000302,10,2
2.35E-05,15,3,,,,,0.0000233,3,2
2.37E-05,15,3,,,,,0.000023,3,2
2.37E-05,15,3,,,,,0.0000284,3,2
2.38E-05,15,3,,,,,0.0000284,3,2
2.34E-05,15,6,,,,,0.0000299,3,2
2.36E-05,15,7,,,,,0.0000299,3,2
2.33E-05,15,7,,,,,0.0000299,3,2
3.23E-05,15,11,,,,,0.0000301,3,2
2.45E-05,15,11,,,,,0.00003,3,2
2.35E-05,15,11,,,,,0.0000304,3,2
2.73E-05,15,11,,,,,0.0000292,3,2
2.33E-05,15,9,,,,,0.0000302,3,2
2.35E-05,15,10,,,,,0.00003,3,2
