cas operacie,index prvku,dlzka zoznamu,,,,,,,
8.43E-05,0,24,,,,,0.0003748,0,4
8.50E-05,0,23,,,,,0.0001304,0,4
8.37E-05,0,24,,,,,0.0003266,0,4
8.45E-05,0,26,,,,,0.0001851,0,4
9.13E-05,0,25,,,,,0.0001233,0,4
8.93E-05,0,24,,,,,0.0001717,0,4
8.31E-05,0,21,,,,,0.0000911,0,4
8.33E-05,0,20,,,,,0.0000839,0,4
8.34E-05,0,20,,,,,0.0001212,0,4
8.42E-05,0,21,,,,,0.0000875,0,4
9.04E-05,0,19,,,,,0.0000834,0,4
9.99E-05,0,18,,,,,0.0000847,0,4
8.62E-05,0,16,,,,,0.0000834,0,4
0.0001318,0,15,,,,,0.0000836,0,4
9.13E-05,0,15,,,,,0.0000838,0,4
8.57E-05,0,14,,,,,0.0001266,0,4
8.48E-05,0,14,,,,,0.0000834,0,4
8.52E-05,0,13,,,,,0.0000835,0,4
0.000117,0,18,,,,,0.0001128,0,4
8.93E-05,0,18,,,,,0.0000843,0,4
0.0001318,0,14,,,,,0.0000837,0,4
0.0001233,0,12,,,,,0.0000836,0,4
8.55E-05,0,12,,,,,0.000083,0,4
0.0001346,0,10,,,,,0.0000842,0,4
0.0001193,0,9,,,,,0.0001091,0,4
8.60E-05,0,8,,,,,0.0000893,0,4
8.49E-05,0,7,,,,,0.000085,0,4
8.52E-05,0,6,,,,,0.0000837,0,4
8.50E-05,0,5,,,,,0.0000837,0,4
0.0001811,0,5,,,,,0.0000855,0,4
8.43E-05,0,5,,,,,0.0000886,0,4
8.34E-05,0,3,,,,,0.000084,0,4
8.47E-05,0,3,,,,,0.0000902,0,4
9.30E-05,0,3,,,,,0.0000837,0,4
