cas operacie,index prvku,dlzka zoznamu,,,,,,
3.20E-05,2,2,,,,0.0000769,3,3
2.60E-05,2,2,,,,0.0000251,3,3
2.62E-05,1,1,,,,0.0000245,3,3
2.63E-05,1,1,,,,0.0000244,3,3
2.56E-05,0,0,,,,0.0000264,3,3
2.45E-05,2,2,,,,0.0000246,3,3
4.11E-05,2,2,,,,0.0000245,3,3
2.51E-05,2,2,,,,0.0000265,3,3
2.48E-05,2,2,,,,0.0000248,3,3
2.57E-05,3,3,,,,0.0000248,3,3
3.04E-05,1,1,,,,0.0000247,3,3
2.48E-05,1,1,,,,0.0000253,3,3
2.64E-05,0,0,,,,0.0000257,3,3
2.49E-05,9,9,,,,0.000025,3,3
2.48E-05,8,8,,,,0.0000259,3,3
2.46E-05,7,7,,,,0.0000245,3,3
2.52E-05,9,9,,,,0.0000247,3,3
2.47E-05,8,8,,,,0.0000422,3,3
2.48E-05,8,8,,,,0.0000247,3,3
3.71E-05,15,15,,,,0.000025,3,3
3.63E-05,19,19,,,,0.0000247,3,3
2.62E-05,26,26,,,,0.0000401,3,3
2.58E-05,24,24,,,,0.0000352,3,3
2.57E-05,26,26,,,,0.0000248,3,3
3.00E-05,23,23,,,,0.0000253,3,3
2.55E-05,22,22,,,,0.0000249,3,3
2.65E-05,21,21,,,,0.0000257,3,3
2.51E-05,27,27,,,,0.0000247,3,3
2.51E-05,26,26,,,,0.0000247,3,3
2.50E-05,23,23,,,,0.0000248,3,3
2.50E-05,19,19,,,,0.000025,3,3
3.82E-05,19,19,,,,0.0000248,3,3
2.74E-05,21,21,,,,0.0000244,3,3
3.08E-05,20,20,,,,0.0000247,3,3
2.58E-05,17,17,,,,0.0000246,3,3
2.55E-05,16,16,,,,0.0000249,3,3
3.01E-05,15,15,,,,0.0000255,3,3
2.91E-05,14,14,,,,0.0000248,3,3
4.58E-05,18,18,,,,0.0000246,3,3
2.60E-05,19,19,,,,0.0000262,3,3
0.0001102,18,18,,,,0.0000604,3,3
4.93E-05,17,17,,,,0.0000245,3,3
