cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,,
1.99E-05,2,66,81,,,
1.98E-05,35,50,81,,,
1.94E-05,87,26,85,,,
1.83E-05,88,13,86,,,
1.91E-05,1,54,81,,,
1.99E-05,87,27,81,,,
1.80E-05,34,77,82,,,
1.79E-05,34,76,82,,,
1.87E-05,78,55,81,,,
1.91E-05,89,33,80,,,
3.11E-05,23,3,84,,,
2.24E-05,32,34,84,,,
2.28E-05,13,65,84,,,
2.59E-05,84,41,85,,,
2.34E-05,88,15,86,,,
2.35E-05,6,71,86,,,
2.21E-05,82,32,84,,,
0.0002035,24,64,86,,,
0.0006047,15,5,86,,,
2.96E-05,22,35,89,,,
2.49E-05,21,8,80,,,
2.45E-05,6,7,81,,,
2.30E-05,21,9,81,,,
2.38E-05,6,3,67,,,
2.63E-05,9,44,67,,,
3.06E-05,84,21,69,,,
2.74E-05,74,30,72,,,
2.73E-05,33,75,77,,,
6.15E-05,6,68,78,,,
5.91E-05,88,13,82,,,
3.22E-05,10,27,82,,,
2.93E-05,7,14,82,,,
2.83E-05,24,79,82,,,
2.81E-05,1,20,80,,,
2.27E-05,24,55,79,,,
2.46E-05,6,17,80,,,
3.00E-05,34,17,80,,,
0.0044035,23,15,80,,,
2.11E-05,75,37,81,,,
1.79E-05,31,2,87,,,
1.78E-05,33,83,86,,,
2.08E-05,14,55,91,,,
1.89E-05,1,27,88,,,
8.05E-05,80,85,88,,,
3.29E-05,32,10,87,,,
1.88E-05,2,58,83,,,
1.90E-05,79,58,79,,,
1.91E-05,24,42,79,,,
3.30E-05,81,52,77,,,
1.78E-05,77,71,77,,,
1.81E-05,32,15,77,,,
1.81E-05,23,21,76,,,
1.78E-05,32,17,75,,,
1.73E-05,23,63,74,,,
1.79E-05,74,44,72,,,
2.58E-05,29,17,72,,,
1.97E-05,11,1,72,,,
2.07E-05,2,57,73,,,
1.88E-05,14,18,73,,,
1.93E-05,26,29,76,,,
1.76E-05,77,68,78,,,
1.79E-05,4,22,76,,,
1.76E-05,86,55,75,,,
1.90E-05,21,20,73,,,
1.86E-05,4,18,73,,,
1.82E-05,78,67,73,,,
1.86E-05,12,4,74,,,
1.81E-05,24,41,75,,,
1.72E-05,19,5,77,,,
1.86E-05,18,17,80,,,
1.80E-05,7,21,75,,,
1.76E-05,71,56,77,,,
2.34E-05,7,22,77,,,
1.75E-05,10,10,77,,,
1.81E-05,82,39,77,,,
1.84E-05,13,33,77,,,
2.40E-05,33,56,78,,,
1.72E-05,17,68,74,,,
1.75E-05,21,55,64,,,
1.71E-05,7,62,66,,,
1.73E-05,85,5,63,,,
1.86E-05,31,29,69,,,
1.84E-05,85,42,70,,,
1.79E-05,8,23,70,,,
1.83E-05,31,29,69,,,
1.93E-05,29,56,73,,,
1.90E-05,16,29,73,,,
1.76E-05,80,15,79,,,
1.77E-05,83,50,79,,,
1.79E-05,85,15,79,,,
1.79E-05,23,21,83,,,
1.72E-05,26,74,83,,,
1.77E-05,80,18,83,,,
1.83E-05,71,34,83,,,
1.77E-05,24,52,81,,,
1.90E-05,90,46,79,,,
1.73E-05,84,5,80,,,
1.80E-05,88,49,81,,,
1.79E-05,78,55,80,,,
1.82E-05,1,30,80,,,
1.81E-05,7,46,81,,,
1.93E-05,21,78,85,,,
2.60E-05,31,65,85,,,
1.94E-05,1,29,84,,,
1.74E-05,26,0,85,,,
1.72E-05,21,78,86,,,
1.73E-05,82,77,87,,,
2.15E-05,90,49,88,,,
1.98E-05,76,41,94,,,
1.74E-05,5,7,93,,,
9.17E-05,24,50,94,,,
2.12E-05,88,28,94,,,
1.89E-05,72,16,95,,,
1.98E-05,20,9,95,,,
2.13E-05,72,7,96,,,
2.73E-05,24,50,95,,,
1.83E-05,13,64,98,,,
1.82E-05,75,32,98,,,
1.94E-05,32,27,101,,,
1.81E-05,26,81,102,,,
3.51E-05,75,34,104,,,
2.03E-05,85,45,100,,,
1.84E-05,83,76,100,,,
1.87E-05,11,76,102,,,
2.16E-05,8,4,102,,,
2.28E-05,76,41,102,,,
2.11E-05,85,42,97,,,
1.98E-05,90,44,96,,,
1.90E-05,27,65,96,,,
2.29E-05,7,48,98,,,
2.70E-05,84,35,90,,,
2.00E-05,21,56,90,,,
1.87E-05,80,15,90,,,
1.80E-05,23,2,92,,,
2.05E-05,1,55,92,,,
3.32E-05,31,27,87,,,
2.13E-05,72,7,87,,,
2.18E-05,1,8,87,,,
1.79E-05,82,83,87,,,
1.85E-05,88,25,87,,,
1.88E-05,84,34,87,,,
2.25E-05,86,73,85,,,
1.87E-05,5,36,85,,,
6.06E-05,81,52,81,,,
1.94E-05,73,44,81,,,
1.78E-05,27,61,85,,,
1.74E-05,26,81,88,,,
1.70E-05,72,4,87,,,
1.89E-05,7,44,88,,,
1.87E-05,24,42,89,,,
1.81E-05,75,50,88,,,
1.94E-05,82,31,83,,,
1.86E-05,73,31,76,,,
1.84E-05,80,34,74,,,
1.77E-05,80,13,75,,,
0.0001153,73,24,76,,,
1.95E-05,85,36,74,,,
2.12E-05,88,28,74,,,
1.84E-05,88,58,76,,,
1.72E-05,86,73,80,,,
2.31E-05,86,72,78,,,
1.80E-05,75,49,79,,,
1.94E-05,12,38,82,,,
2.20E-05,22,69,74,,,
3.44E-05,32,17,72,,,
3.04E-05,27,53,69,,,
2.79E-05,18,30,70,,,
2.02E-05,22,37,69,,,
1.90E-05,30,10,74,,,
1.86E-05,18,60,82,,,
1.80E-05,23,75,82,,,
1.85E-05,18,65,91,,,
1.89E-05,18,4,93,,,
1.73E-05,4,82,93,,,
1.75E-05,21,68,86,,,
1.82E-05,18,31,85,,,
1.79E-05,82,24,85,,,
2.88E-05,81,50,85,,,
1.84E-05,24,32,78,,,
1.82E-05,84,20,75,,,
1.80E-05,23,26,77,,,
1.85E-05,21,67,80,,,
1.90E-05,23,24,82,,,
3.50E-05,12,52,83,,,
1.78E-05,88,19,83,,,
2.79E-05,8,12,82,,,
1.76E-05,24,0,81,,,
1.81E-05,84,24,82,,,
1.84E-05,24,35,83,,,
1.80E-05,75,23,83,,,
1.73E-05,30,11,83,,,
1.83E-05,24,34,83,,,
2.94E-05,24,34,84,,,
1.81E-05,77,6,83,,,
3.19E-05,7,81,86,,,
1.81E-05,71,57,92,,,
1.75E-05,23,83,93,,,
1.87E-05,88,45,92,,,
1.73E-05,11,11,93,,,
1.92E-05,30,94,98,,,
2.89E-05,22,84,97,,,
2.93E-05,75,45,90,,,
2.01E-05,80,46,88,,,
1.91E-05,6,59,91,,,
2.53E-05,80,76,92,,,
3.37E-05,19,58,93,,,
3.16E-05,89,65,95,,,
3.39E-05,24,40,95,,,
3.53E-05,35,7,100,,,
2.20E-05,11,0,98,,,
1.93E-05,87,47,108,,,
2.12E-05,86,53,107,,,
1.88E-05,22,42,106,,,
1.76E-05,24,2,105,,,
1.83E-05,30,25,105,,,
1.75E-05,27,17,108,,,
1.73E-05,23,105,112,,,
2.12E-05,2,74,120,,,
1.85E-05,19,80,119,,,
1.81E-05,74,75,115,,,
1.93E-05,87,44,114,,,
1.75E-05,80,94,113,,,
1.75E-05,35,16,113,,,
1.81E-05,13,109,117,,,
2.01E-05,11,67,119,,,
1.76E-05,88,104,119,,,
1.74E-05,35,13,119,,,
1.73E-05,3,104,117,,,
1.77E-05,20,15,116,,,
1.93E-05,29,62,115,,,
1.99E-05,21,80,116,,,
1.81E-05,23,25,113,,,
1.88E-05,26,46,110,,,
1.71E-05,88,100,111,,,
