cas operacie,cislo,index prvku,dlzka zoznamu,,,
1.90E-05,86,67,88,,,
3.20E-05,79,75,87,,,
3.06E-05,72,43,84,,,
2.15E-05,75,35,84,,,
3.16E-05,87,19,85,,,
1.89E-05,72,10,82,,,
2.87E-05,79,55,82,,,
1.86E-05,77,69,82,,,
1.89E-05,81,52,77,,,
2.86E-05,73,33,76,,,
2.21E-05,74,13,76,,,
1.98E-05,77,45,77,,,
1.83E-05,90,75,78,,,
1.94E-05,74,29,77,,,
1.83E-05,74,47,75,,,
1.84E-05,76,41,77,,,
2.18E-05,86,15,76,,,
1.93E-05,83,70,76,,,
1.88E-05,75,24,72,,,
1.85E-05,90,39,72,,,
1.76E-05,78,68,73,,,
2.04E-05,76,70,73,,,
2.20E-05,88,37,72,,,
2.17E-05,71,0,76,,,
1.84E-05,72,53,75,,,
1.89E-05,76,30,75,,,
1.90E-05,74,60,73,,,
2.40E-05,80,54,76,,,
1.84E-05,79,28,74,,,
1.83E-05,80,44,74,,,
1.81E-05,85,52,76,,,
1.81E-05,79,48,76,,,
1.80E-05,85,13,77,,,
1.85E-05,82,45,79,,,
2.24E-05,90,5,81,,,
1.87E-05,83,38,77,,,
1.75E-05,80,11,77,,,
1.85E-05,81,22,77,,,
1.79E-05,83,6,70,,,
2.08E-05,73,49,67,,,
2.16E-05,77,12,68,,,
1.89E-05,90,36,66,,,
1.92E-05,87,45,66,,,
2.42E-05,88,44,66,,,
1.73E-05,90,66,68,,,
1.71E-05,72,1,70,,,
1.84E-05,80,30,71,,,
1.86E-05,85,31,74,,,
1.79E-05,75,2,80,,,
1.86E-05,71,30,79,,,
1.80E-05,90,66,83,,,
1.83E-05,74,24,83,,,
1.82E-05,82,53,80,,,
1.75E-05,84,7,79,,,
2.00E-05,74,16,79,,,
1.82E-05,71,67,78,,,
1.79E-05,84,14,82,,,
2.63E-05,79,58,83,,,
1.73E-05,82,72,79,,,
1.84E-05,83,57,86,,,
1.79E-05,77,13,86,,,
1.85E-05,90,51,86,,,
1.84E-05,73,49,88,,,
2.79E-05,75,53,88,,,
1.97E-05,78,28,88,,,
1.79E-05,85,8,89,,,
1.88E-05,87,29,91,,,
2.03E-05,71,41,91,,,
1.91E-05,83,62,91,,,
2.43E-05,88,26,95,,,
2.48E-05,76,40,95,,,
2.04E-05,90,79,96,,,
1.81E-05,72,3,95,,,
1.94E-05,83,3,97,,,
1.85E-05,77,72,97,,,
2.05E-05,87,41,97,,,
2.24E-05,83,78,98,,,
3.12E-05,80,19,97,,,
1.77E-05,86,81,98,,,
1.79E-05,79,80,98,,,
1.79E-05,77,6,105,,,
1.98E-05,85,49,103,,,
1.81E-05,79,73,101,,,
3.78E-05,72,49,106,,,
1.94E-05,88,28,100,,,
2.16E-05,87,50,100,,,
1.87E-05,78,15,102,,,
1.92E-05,90,90,102,,,
1.82E-05,82,2,102,,,
1.81E-05,74,2,101,,,
1.99E-05,84,39,97,,,
2.77E-05,90,44,97,,,
1.86E-05,85,80,97,,,
3.19E-05,83,64,95,,,
2.73E-05,82,88,93,,,
2.67E-05,79,22,89,,,
3.51E-05,74,25,89,,,
2.89E-05,88,61,89,,,
1.94E-05,82,7,91,,,
1.98E-05,74,52,90,,,
1.95E-05,73,30,87,,,
1.95E-05,81,52,89,,,
1.99E-05,87,29,92,,,
2.83E-05,82,30,89,,,
2.27E-05,75,46,89,,,
2.21E-05,79,52,89,,,
1.77E-05,71,9,87,,,
1.73E-05,81,80,84,,,
1.86E-05,88,25,81,,,
2.05E-05,75,64,81,,,
2.62E-05,75,22,81,,,
1.81E-05,71,22,82,,,
1.82E-05,88,12,83,,,
1.82E-05,89,22,85,,,
1.86E-05,75,29,85,,,
4.16E-05,73,40,87,,,
1.82E-05,78,23,87,,,
1.72E-05,88,85,87,,,
1.86E-05,75,35,89,,,
5.30E-05,85,81,86,,,
1.80E-05,83,54,76,,,
1.83E-05,89,30,74,,,
1.78E-05,87,57,75,,,
1.98E-05,73,22,73,,,
1.94E-05,89,62,74,,,
1.80E-05,77,62,75,,,
2.42E-05,75,14,74,,,
2.68E-05,78,64,74,,,
1.90E-05,86,44,76,,,
1.79E-05,74,4,78,,,
2.15E-05,81,1,81,,,
1.77E-05,86,6,79,,,
1.82E-05,77,49,77,,,
1.95E-05,90,5,74,,,
2.94E-05,81,21,73,,,
4.17E-05,76,61,70,,,
1.97E-05,81,31,72,,,
3.53E-05,81,26,77,,,
1.88E-05,80,68,82,,,
1.85E-05,81,54,84,,,
2.98E-05,72,75,86,,,
2.65E-05,81,22,89,,,
3.29E-05,77,41,88,,,
2.11E-05,88,36,90,,,
2.00E-05,80,42,90,,,
1.72E-05,81,1,90,,,
1.79E-05,78,76,91,,,
1.98E-05,71,32,88,,,
1.86E-05,76,58,85,,,
1.84E-05,83,45,85,,,
1.75E-05,71,71,87,,,
1.82E-05,89,62,88,,,
1.72E-05,73,2,88,,,
1.88E-05,72,36,87,,,
1.77E-05,82,73,85,,,
2.33E-05,71,54,86,,,
1.80E-05,71,65,85,,,
1.84E-05,78,82,84,,,
1.81E-05,73,11,81,,,
1.83E-05,83,51,80,,,
1.82E-05,80,47,80,,,
1.94E-05,84,25,78,,,
1.86E-05,83,35,72,,,
1.79E-05,83,6,73,,,
1.83E-05,74,17,71,,,
1.88E-05,75,12,80,,,
1.86E-05,75,38,76,,,
3.02E-05,77,58,80,,,
1.85E-05,86,28,83,,,
2.43E-05,89,17,83,,,
2.01E-05,72,42,83,,,
2.81E-05,80,40,83,,,
1.80E-05,88,10,82,,,
1.80E-05,85,61,81,,,
2.23E-05,88,39,81,,,
1.75E-05,77,2,80,,,
2.27E-05,84,7,80,,,
1.95E-05,86,19,81,,,
1.87E-05,76,60,86,,,
2.08E-05,87,54,88,,,
1.98E-05,75,41,94,,,
1.90E-05,79,25,94,,,
2.36E-05,81,15,91,,,
1.92E-05,83,22,91,,,
1.94E-05,89,18,87,,,
3.25E-05,87,36,89,,,
2.38E-05,78,68,87,,,
1.84E-05,88,86,89,,,
1.97E-05,72,44,89,,,
2.81E-05,87,28,90,,,
