cas operacie,index prvku,dlzka zoznamu,,
1.13E-05,64,64,,
1.19E-05,65,65,,
1.03E-05,65,65,,
2.03E-05,67,67,,
1.06E-05,66,66,,
1.03E-05,64,64,,
1.03E-05,67,67,,
1.03E-05,67,67,,
1.07E-05,67,67,,
1.45E-05,69,69,,
1.42E-05,66,66,,
1.03E-05,63,63,,
1.03E-05,61,61,,
1.04E-05,60,60,,
1.13E-05,61,61,,
1.29E-05,61,61,,
1.03E-05,60,60,,
1.03E-05,61,61,,
1.03E-05,60,60,,
1.06E-05,70,70,,
1.06E-05,67,67,,
1.03E-05,67,67,,
1.05E-05,74,74,,
1.02E-05,72,72,,
1.06E-05,77,77,,
1.03E-05,77,77,,
1.02E-05,75,75,,
1.02E-05,74,74,,
1.03E-05,79,79,,
1.02E-05,79,79,,
1.02E-05,78,78,,
1.56E-05,77,77,,
1.09E-05,74,74,,
1.14E-05,76,76,,
1.54E-05,75,75,,
1.04E-05,71,71,,
1.02E-05,71,71,,
1.30E-05,70,70,,
1.09E-05,72,72,,
1.15E-05,74,74,,
1.02E-05,75,75,,
1.02E-05,76,76,,
1.02E-05,74,74,,
1.03E-05,72,72,,
1.09E-05,69,69,,
1.02E-05,66,66,,
1.02E-05,65,65,,
1.04E-05,63,63,,
1.05E-05,63,63,,
1.01E-05,61,61,,
1.03E-05,62,62,,
1.02E-05,62,62,,
1.02E-05,60,60,,
1.05E-05,57,57,,
1.05E-05,57,57,,
1.04E-05,60,60,,
1.12E-05,64,64,,
1.11E-05,63,63,,
1.17E-05,61,61,,
1.14E-05,60,60,,
1.15E-05,60,60,,
1.15E-05,59,59,,
1.05E-05,57,57,,
1.08E-05,56,56,,
1.05E-05,58,58,,
1.07E-05,55,55,,
1.02E-05,53,53,,
1.02E-05,51,51,,
1.72E-05,50,50,,
1.05E-05,49,49,,
1.04E-05,51,51,,
1.30E-05,49,49,,
1.05E-05,50,50,,
1.27E-05,50,50,,
1.02E-05,49,49,,
1.15E-05,51,51,,
1.13E-05,50,50,,
1.55E-05,49,49,,
1.15E-05,48,48,,
1.16E-05,47,47,,
1.14E-05,46,46,,
1.20E-05,46,46,,
1.51E-05,46,46,,
1.36E-05,45,45,,
1.10E-05,44,44,,
1.02E-05,46,46,,
1.01E-05,45,45,,
1.08E-05,46,46,,
1.04E-05,44,44,,
1.02E-05,43,43,,
1.04E-05,43,43,,
1.08E-05,42,42,,
1.02E-05,41,41,,
1.07E-05,40,40,,
1.03E-05,42,42,,
1.20E-05,42,42,,
1.04E-05,42,42,,
1.03E-05,41,41,,
1.03E-05,40,40,,
1.03E-05,40,40,,
1.03E-05,39,39,,
1.02E-05,41,41,,
1.02E-05,42,42,,
1.01E-05,45,45,,
1.02E-05,48,48,,
1.19E-05,50,50,,
1.02E-05,48,48,,
2.09E-05,51,51,,
1.03E-05,50,50,,
1.22E-05,51,51,,
1.07E-05,53,53,,
1.01E-05,57,57,,
1.33E-05,58,58,,
1.02E-05,56,56,,
1.04E-05,58,58,,
1.01E-05,57,57,,
1.04E-05,55,55,,
1.04E-05,53,53,,
1.03E-05,53,53,,
1.03E-05,54,54,,
1.05E-05,55,55,,
1.05E-05,55,55,,
1.05E-05,61,61,,
1.11E-05,64,64,,
1.03E-05,64,64,,
1.03E-05,69,69,,
