cas operacie,index prvku,dlzka zoznamu,,
1.99E-05,61,122,,
1.99E-05,70,132,,
1.84E-05,118,131,,
2.03E-05,63,129,,
2.01E-05,75,128,,
2.00E-05,64,128,,
1.87E-05,97,125,,
1.99E-05,62,124,,
2.58E-05,72,123,,
2.11E-05,106,120,,
1.82E-05,3,120,,
1.81E-05,2,118,,
1.91E-05,74,119,,
1.82E-05,6,117,,
3.51E-05,84,121,,
3.08E-05,114,120,,
2.08E-05,52,121,,
2.00E-05,54,121,,
2.02E-05,60,125,,
2.02E-05,95,125,,
2.05E-05,64,122,,
2.02E-05,50,115,,
2.08E-05,2,114,,
2.00E-05,83,111,,
1.85E-05,109,117,,
1.89E-05,92,113,,
1.98E-05,50,112,,
1.81E-05,7,111,,
2.26E-05,44,111,,
1.89E-05,18,114,,
1.84E-05,14,112,,
1.81E-05,110,118,,
1.93E-05,69,117,,
1.93E-05,69,115,,
1.79E-05,106,114,,
2.00E-05,52,114,,
1.93E-05,16,115,,
1.92E-05,29,112,,
1.89E-05,76,111,,
2.00E-05,47,110,,
1.82E-05,102,109,,
1.99E-05,27,108,,
1.91E-05,34,107,,
1.87E-05,75,106,,
1.98E-05,77,105,,
1.94E-05,58,104,,
3.54E-05,45,101,,
2.38E-05,88,105,,
2.47E-05,30,108,,
2.60E-05,41,106,,
2.08E-05,4,106,,
1.15E-05,0,105,,
1.97E-05,83,105,,
1.93E-05,13,104,,
1.93E-05,4,103,,
1.91E-05,97,106,,
1.98E-05,27,105,,
1.97E-05,68,104,,
1.96E-05,79,103,,
2.78E-05,37,101,,
1.86E-05,19,110,,
1.87E-05,20,105,,
2.11E-05,88,106,,
1.97E-05,40,106,,
1.94E-05,34,106,,
1.90E-05,75,107,,
1.95E-05,59,110,,
1.83E-05,98,108,,
1.88E-05,15,105,,
1.80E-05,98,102,,
1.84E-05,83,100,,
1.80E-05,100,103,,
1.94E-05,27,103,,
1.96E-05,59,105,,
1.84E-05,82,104,,
2.10E-05,40,109,,
1.92E-05,98,110,,
1.98E-05,13,108,,
5.96E-05,56,112,,
2.03E-05,69,111,,
1.99E-05,74,110,,
1.92E-05,13,106,,
1.92E-05,17,102,,
1.91E-05,8,103,,
1.93E-05,64,105,,
2.06E-05,68,105,,
2.70E-05,10,102,,
1.90E-05,27,99,,
2.24E-05,56,99,,
1.92E-05,52,97,,
1.85E-05,86,99,,
2.16E-05,19,99,,
1.95E-05,56,97,,
1.78E-05,3,94,,
2.01E-05,44,97,,
1.82E-05,86,96,,
2.00E-05,50,101,,
1.93E-05,41,100,,
1.93E-05,78,101,,
1.86E-05,73,100,,
1.93E-05,28,96,,
1.91E-05,20,96,,
1.77E-05,1,95,,
1.84E-05,87,95,,
1.85E-05,20,93,,
1.90E-05,33,91,,
1.80E-05,84,92,,
2.00E-05,40,90,,
1.92E-05,47,90,,
1.85E-05,64,88,,
2.60E-05,10,84,,
1.80E-05,2,90,,
1.76E-05,1,89,,
2.45E-05,53,89,,
1.85E-05,13,88,,
1.90E-05,53,88,,
1.96E-05,77,87,,
1.98E-05,26,86,,
2.56E-05,20,84,,
1.84E-05,74,85,,
2.28E-05,35,86,,
1.98E-05,53,85,,
2.07E-05,42,88,,
1.94E-05,73,87,,
2.01E-05,35,84,,
1.97E-05,8,83,,
2.11E-05,72,81,,
1.97E-05,63,82,,
1.95E-05,17,82,,
2.38E-05,62,81,,
1.88E-05,71,82,,
1.78E-05,76,83,,
1.93E-05,46,82,,
1.84E-05,81,87,,
1.95E-05,40,86,,
1.19E-05,0,89,,
1.92E-05,9,88,,
1.88E-05,26,86,,
1.91E-05,34,87,,
1.88E-05,59,87,,
1.86E-05,4,86,,
1.90E-05,45,86,,
2.52E-05,79,90,,
1.85E-05,10,88,,
1.90E-05,53,88,,
1.92E-05,27,89,,
1.87E-05,65,89,,
1.91E-05,33,89,,
1.90E-05,11,90,,
2.00E-05,34,89,,
1.85E-05,11,91,,
1.93E-05,39,92,,
1.90E-05,66,93,,
1.91E-05,58,95,,
1.80E-05,9,93,,
1.83E-05,83,92,,
2.39E-05,71,90,,
2.00E-05,58,89,,
2.58E-05,52,97,,
1.80E-05,86,93,,
1.02E-05,0,94,,
1.84E-05,77,93,,
1.99E-05,45,91,,
2.47E-05,44,90,,
1.94E-05,61,89,,
1.85E-05,19,87,,
1.79E-05,7,83,,
1.95E-05,43,86,,
2.55E-05,64,87,,
1.91E-05,43,86,,
1.97E-05,46,87,,
1.89E-05,24,86,,
1.79E-05,1,83,,
2.29E-05,50,84,,
1.85E-05,66,85,,
1.94E-05,38,84,,
1.84E-05,18,82,,
1.96E-05,24,80,,
1.88E-05,26,81,,
2.01E-05,62,82,,
2.54E-05,34,80,,
1.95E-05,31,79,,
1.96E-05,48,78,,
1.83E-05,60,77,,
8.99E-05,32,74,,
1.98E-05,38,75,,
1.91E-05,22,74,,
1.83E-05,16,73,,
2.06E-05,51,72,,
1.91E-05,23,68,,
1.88E-05,23,65,,
1.85E-05,58,70,,
1.98E-05,21,72,,
1.82E-05,61,70,,
1.88E-05,38,71,,
1.77E-05,1,69,,
1.86E-05,44,70,,
2.05E-05,48,69,,
1.89E-05,46,72,,
1.89E-05,28,71,,
1.78E-05,2,69,,
1.83E-05,60,68,,
1.82E-05,13,66,,
1.86E-05,3,65,,
