cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,sum,pocet
1.82E-05,35,25,26,,,,
1.80E-05,29,26,27,,,,
1.81E-05,9,27,28,,,,
2.39E-05,16,26,27,,,,
2.55E-05,45,28,29,,,,
2.26E-05,32,28,29,,,,
2.42E-05,21,29,30,,,,
2.25E-05,37,30,31,,,,
1.81E-05,39,31,32,,,,
1.77E-05,35,33,34,,,,
2.79E-05,11,32,33,,,,
1.78E-05,24,31,32,,,,
1.76E-05,7,31,32,,,,
1.83E-05,4,32,33,,,,
1.80E-05,13,33,34,,,,
1.80E-05,44,32,33,,,,
1.78E-05,26,30,31,,,,
1.79E-05,5,27,28,,,,
2.20E-05,11,24,25,,,,
2.02E-05,33,21,22,,,,
2.57E-05,41,20,21,,,,
2.35E-05,4,20,21,,,,
3.34E-05,3,22,23,,,,
1.80E-05,5,20,21,,,,
2.17E-05,19,14,15,,,,
2.85E-05,21,14,15,,,,
2.31E-05,24,14,15,,,,
6.71E-05,43,14,15,,,,
2.21E-05,5,15,16,,,,
1.79E-05,19,15,16,,,,
1.79E-05,22,15,16,,,,
1.77E-05,2,10,11,,,,
1.79E-05,15,11,12,,,,
1.78E-05,3,10,11,,,,
2.21E-05,19,13,14,,,,
1.78E-05,9,11,12,,,,
2.66E-05,6,10,11,,,,
2.52E-05,6,12,13,,,,
2.30E-05,10,11,12,,,,
1.80E-05,30,10,11,,,,
2.19E-05,32,9,10,,,,
2.18E-05,24,10,11,,,,
1.82E-05,8,10,11,,,,
1.81E-05,13,12,13,,,,
1.80E-05,30,13,14,,,,
1.84E-05,18,16,17,,,,
1.82E-05,5,16,17,,,,
1.80E-05,24,15,16,,,,
1.78E-05,38,15,16,,,,
1.83E-05,21,17,18,,,,
1.79E-05,25,17,18,,,,
1.82E-05,24,19,20,,,,
1.79E-05,41,20,21,,,,
1.79E-05,7,21,22,,,,
1.78E-05,20,18,19,,,,
1.81E-05,45,19,20,,,,
2.73E-05,22,20,21,,,,
1.79E-05,10,21,22,,,,
1.81E-05,41,27,28,,,,
1.78E-05,15,26,27,,,,
1.79E-05,8,25,26,,,,
1.80E-05,19,29,30,,,,
1.80E-05,2,30,31,,,,
1.78E-05,11,31,32,,,,
1.78E-05,39,32,33,,,,
2.09E-05,45,34,35,,,,
2.34E-05,14,33,34,,,,
3.19E-05,17,33,34,,,,
2.77E-05,7,35,36,,,,
2.45E-05,1,36,37,,,,
1.79E-05,23,38,39,,,,
2.50E-05,26,29,30,,,,
4.97E-05,23,30,31,,,,
1.79E-05,5,31,32,,,,
1.83E-05,13,29,30,,,,
1.81E-05,1,24,25,,,,
1.80E-05,39,22,23,,,,
2.82E-05,40,21,22,,,,
1.80E-05,2,24,25,,,,
1.81E-05,1,23,24,,,,
2.21E-05,5,18,19,,,,
1.86E-05,13,20,21,,,,
1.80E-05,3,19,20,,,,
1.80E-05,3,21,22,,,,
1.85E-05,21,22,23,,,,
2.38E-05,15,17,18,,,,
3.14E-05,38,16,17,,,,
2.35E-05,30,15,16,,,,
2.98E-05,18,16,17,,,,
1.81E-05,19,19,20,,,,
1.77E-05,12,18,19,,,,
2.96E-05,6,19,20,,,,
1.80E-05,8,18,19,,,,
1.80E-05,25,17,18,,,,
2.56E-05,4,18,19,,,,
1.84E-05,1,19,20,,,,
1.82E-05,17,17,18,,,,
1.81E-05,10,14,15,,,,
1.87E-05,45,15,16,,,,
1.79E-05,8,15,16,,,,
1.79E-05,4,14,15,,,,
2.46E-05,3,14,15,,,,
1.78E-05,13,14,15,,,,
1.92E-05,4,14,15,,,,
2.56E-05,20,15,16,,,,
1.97E-05,34,16,17,,,,
2.40E-05,20,12,13,,,,
1.82E-05,1,11,12,,,,
1.81E-05,12,13,14,,,,
3.11E-05,10,14,15,,,,
2.64E-05,40,17,18,,,,
2.31E-05,42,17,18,,,,
2.20E-05,27,18,19,,,,
1.77E-05,20,19,20,,,,
1.79E-05,37,19,20,,,,
1.80E-05,18,10,11,,,,
1.79E-05,22,11,12,,,,
1.83E-05,40,10,11,,,,
1.81E-05,26,11,12,,,,
2.00E-05,41,10,11,,,,
