cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,
2.29E-05,0,0,63,,,,
0.0005422,23,23,57,,,,
0.0008193,35,35,56,,,,
0.0005417,23,23,54,,,,
0.0004691,20,20,59,,,,
0.0001545,6,6,59,,,,
0.0003133,13,13,60,,,,
0.0009573,42,42,62,,,,
0.000269,11,11,62,,,,
0.0002219,9,9,61,,,,
0.0015675,56,56,57,,,,
0.0010818,48,48,57,,,,
0.0009986,44,44,60,,,,
0.0004217,18,18,60,,,,
0.0002026,8,8,59,,,,
0.0001559,6,6,63,,,,
0.0001127,4,4,58,,,,
0.0001119,4,4,59,,,,
0.000159,6,6,62,,,,
0.0003097,13,13,63,,,,
0.0007285,32,32,64,,,,
0.0010219,45,45,66,,,,
0.0002011,8,8,62,,,,
0.000357,15,15,62,,,,
0.0009962,44,44,63,,,,
0.000752,33,33,63,,,,
0.000354,15,15,55,,,,
0.0007695,34,34,58,,,,
0.0011428,40,40,58,,,,
0.0004955,21,21,62,,,,
0.0004899,17,17,58,,,,
0.0011178,49,49,57,,,,
0.000199,8,8,67,,,,
0.0001548,6,6,67,,,,
0.0002451,10,10,64,,,,
0.0005192,22,22,65,,,,
0.0008241,33,33,57,,,,
0.0001567,6,6,56,,,,
0.0006217,26,26,50,,,,
0.000293,7,7,50,,,,
0.0006623,21,21,53,,,,
0.0002656,11,11,52,,,,
0.0005276,23,23,57,,,,
2.25E-05,0,0,57,,,,
0.0001596,6,6,57,,,,
0.0002672,11,11,44,,,,
0.0011229,41,41,44,,,,
0.0003113,13,13,46,,,,
0.0001794,7,7,43,,,,
4.51E-05,1,1,44,,,,
0.0001344,5,5,44,,,,
0.0006198,27,27,43,,,,
0.0002013,8,8,42,,,,
0.0021175,45,45,52,,,,
0.0011698,37,37,51,,,,
6.84E-05,2,2,51,,,,
0.0006369,21,21,58,,,,
0.0021812,51,51,64,,,,
0.0002245,0,0,65,,,,
0.0009553,22,22,63,,,,
0.0008133,36,36,60,,,,
0.0002879,12,12,52,,,,
0.000199,8,8,49,,,,
0.0005575,23,23,47,,,,
0.0003996,17,17,40,,,,
0.0002429,10,10,38,,,,
0.0004702,20,20,41,,,,
0.0002445,10,10,40,,,,
0.0003352,14,14,34,,,,
0.0005809,25,25,36,,,,
0.0003554,15,15,38,,,,
0.0004444,19,19,50,,,,
0.0003764,16,16,50,,,,
0.000752,33,33,50,,,,
0.0005127,22,22,50,,,,
0.0001565,6,6,54,,,,
0.0006239,27,27,54,,,,
0.0026831,51,51,57,,,,
0.0008149,27,27,54,,,,
0.000265,8,8,54,,,,
6.76E-05,1,1,52,,,,
0.0002526,7,7,52,,,,
0.0007198,31,31,57,,,,
0.0001125,4,4,57,,,,
0.0003552,15,15,61,,,,
0.0009747,43,43,55,,,,
0.0004411,19,19,54,,,,
0.0007042,19,19,54,,,,
3.37E-05,0,0,49,,,,
0.0009274,41,41,47,,,,
0.0006321,25,25,42,,,,
0.0002232,9,9,36,,,,
0.0007178,19,19,55,,,,
0.0017857,51,51,55,,,,
0.0010241,11,11,51,,,,
0.0009431,27,27,58,,,,
0.0006231,27,27,57,,,,
0.000112,4,4,57,,,,
0.0005146,22,22,58,,,,
0.0003727,13,13,50,,,,
0.0008008,35,35,49,,,,
0.0001794,7,7,49,,,,
0.000243,10,10,51,,,,
0.000991,37,37,49,,,,
0.0004197,18,18,49,,,,
0.0002458,10,10,50,,,,
0.0006023,17,17,44,,,,
0.0003133,13,13,46,,,,
8.96E-05,3,3,46,,,,
2.31E-05,0,0,48,,,,
6.76E-05,2,2,46,,,,
0.0001116,4,4,48,,,,
0.0001558,6,6,51,,,,
0.0004892,21,21,39,,,,
0.0004104,17,17,43,,,,
0.0006683,27,27,49,,,,
0.0005092,22,22,47,,,,
0.0002237,9,9,45,,,,
0.0006904,30,30,40,,,,
2.38E-05,0,0,36,,,,
0.0004253,18,18,27,,,,
0.0002936,12,12,27,,,,
0.0002899,12,12,38,,,,
0.0004969,16,16,39,,,,
0.0008003,29,29,44,,,,
0.0002004,8,8,48,,,,
0.0002911,12,12,43,,,,
0.0002001,8,8,40,,,,
6.67E-05,2,2,35,,,,
0.00042,18,18,33,,,,
0.0008305,36,36,38,,,,
0.0003345,14,14,34,,,,
0.0004525,19,19,32,,,,
0.0004885,21,21,36,,,,
4.53E-05,1,1,40,,,,
0.0003228,13,13,39,,,,
0.0001119,4,4,40,,,,
0.0001628,6,6,41,,,,
0.0008539,37,37,42,,,,
8.94E-05,3,3,44,,,,
0.0003095,13,13,44,,,,
4.51E-05,1,1,41,,,,
0.0002695,11,11,39,,,,
0.000258,6,6,37,,,,
0.0006438,27,27,37,,,,
8.93E-05,3,3,36,,,,
0.0003995,17,17,36,,,,
0.0001995,8,8,34,,,,
0.0013287,31,31,32,,,,
0.000155,6,6,34,,,,
0.0004717,20,20,37,,,,
0.0003865,14,14,36,,,,
0.0001793,7,7,40,,,,
0.0003337,14,14,40,,,,
0.0005103,22,22,38,,,,
0.0001121,4,4,33,,,,
0.0004773,20,20,33,,,,
0.0003848,16,16,38,,,,
0.0002897,12,12,40,,,,
0.0006132,26,26,41,,,,
0.0002909,12,12,45,,,,
0.0001551,6,6,43,,,,
0.0002897,12,12,43,,,,
0.0001343,5,5,43,,,,
0.0009439,41,41,45,,,,
0.0007572,33,33,45,,,,
0.0001362,5,5,45,,,,
0.0006818,24,24,42,,,,
0.0002032,8,8,40,,,,
0.0002452,10,10,36,,,,
6.76E-05,2,2,34,,,,
0.0001577,4,4,32,,,,
0.0004001,12,12,29,,,,
0.0005584,24,24,25,,,,
0.0008975,15,15,26,,,,
9.00E-05,3,3,24,,,,
0.0002887,12,12,18,,,,
0.0001786,7,7,14,,,,
0.0001814,7,7,26,,,,
0.0005686,24,24,25,,,,
2.29E-05,0,0,21,,,,
4.46E-05,1,1,25,,,,
6.69E-05,2,2,21,,,,
0.0002901,12,12,22,,,,
0.000388,16,16,24,,,,
9.70E-05,3,3,23,,,,
0.0002012,8,8,37,,,,
0.0001335,5,5,34,,,,
0.000357,15,15,27,,,,
0.0002305,9,9,24,,,,
8.96E-05,3,3,23,,,,
0.0005283,7,7,21,,,,
0.0003797,16,16,22,,,,
0.0001367,5,5,22,,,,
0.0003298,9,9,19,,,,
0.0001555,6,6,13,,,,
0.0001792,7,7,16,,,,
8.96E-05,3,3,16,,,,
4.56E-05,1,1,18,,,,
6.71E-05,2,2,18,,,,
0.0003132,13,13,25,,,,
0.0003791,16,16,23,,,,
0.0002204,9,9,16,,,,
0.0001153,4,4,21,,,,
0.0006311,19,19,24,,,,
6.10E-05,1,1,17,,,,
0.0003465,12,12,17,,,,
4.53E-05,1,1,15,,,,
