cas operacie,cislo,index prvku,dlzka zoznamu,,,,,,,,
1.84E-05,95,1,18,,,,,0.0000176,94,13,21
2.10E-05,95,6,17,,,,,0.0000175,92,3,21
1.86E-05,93,5,19,,,,,0.0000233,94,6,21
2.46E-05,95,7,19,,,,,0.0000268,95,2,21
1.82E-05,95,6,17,,,,,0.0000177,94,15,21
2.71E-05,94,6,17,,,,,0.000019,93,19,21
1.72E-05,93,4,18,,,,,0.0000183,93,2,21
1.78E-05,93,13,21,,,,,0.00003,93,4,21
1.99E-05,93,25,35,,,,,0.0000246,93,4,21
1.76E-05,93,10,27,,,,,0.0000177,94,6,21
2.00E-05,94,10,26,,,,,0.0000174,91,4,21
1.78E-05,94,3,27,,,,,0.0000172,93,0,21
1.89E-05,92,1,14,,,,,0.0000176,93,17,21
1.97E-05,93,1,9,,,,,0.0000182,95,12,21
1.80E-05,94,6,14,,,,,0.0000177,95,10,21
2.51E-05,91,6,13,,,,,0.0000181,94,11,21
1.74E-05,92,10,12,,,,,0.0000174,93,7,21
1.74E-05,92,10,12,,,,,0.0000178,91,18,21
1.80E-05,94,15,20,,,,,0.0000179,91,15,21
1.72E-05,93,0,18,,,,,0.0000182,91,10,21
1.73E-05,95,7,17,,,,,0.0000188,91,19,21
2.04E-05,95,19,27,,,,,0.0000172,92,0,22
1.76E-05,95,14,25,,,,,0.000018,91,19,22
2.15E-05,92,7,15,,,,,0.0000174,91,9,22
1.74E-05,95,8,19,,,,,0.0000179,91,20,22
1.75E-05,92,11,19,,,,,0.000018,92,18,22
1.76E-05,94,13,21,,,,,0.0000176,93,18,22
1.71E-05,95,4,8,,,,,0.0000235,95,10,22
1.76E-05,94,0,3,,,,,0.0000176,95,9,22
2.02E-05,95,0,2,,,,,0.0000936,92,15,22
1.73E-05,93,4,11,,,,,0.0000178,93,18,22
1.72E-05,91,3,8,,,,,0.0000172,93,5,22
1.81E-05,91,8,11,,,,,0.0000192,93,20,22
1.75E-05,95,2,11,,,,,0.0000173,95,7,22
1.73E-05,92,4,8,,,,,0.0000186,92,14,22
1.72E-05,91,2,5,,,,,0.0000192,93,19,22
1.71E-05,93,1,4,,,,,0.0000184,94,11,23
1.73E-05,95,1,10,,,,,0.0000172,92,0,23
2.07E-05,93,6,10,,,,,0.0000173,92,3,23
1.75E-05,94,9,13,,,,,0.0000177,92,14,23
1.88E-05,93,3,9,,,,,0.0000177,94,15,23
1.84E-05,94,0,6,,,,,0.0000173,95,3,23
1.91E-05,94,0,1,,,,,0.0000177,93,1,23
2.21E-05,92,2,8,,,,,0.0000179,94,19,23
1.74E-05,94,7,10,,,,,0.0000188,91,14,24
2.22E-05,93,7,15,,,,,0.0000181,91,11,24
1.76E-05,93,4,10,,,,,0.0000181,92,12,24
