cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,,
3.30E-06,43,43,95,,,,,0.0000009,6,6,13
7.20E-06,69,69,92,,,,,0.0000018,12,12,13
8.00E-07,6,6,88,,,,,0.0000007,5,5,13
1.30E-06,4,4,80,,,,,0.0000012,11,11,13
3.10E-06,36,36,75,,,,,0.0000005,2,2,13
9.00E-07,4,4,86,,,,,0.0000004,0,0,13
6.00E-07,3,3,86,,,,,0.0000004,2,2,13
2.90E-06,38,38,88,,,,,0.0000005,2,2,13
2.10E-06,26,26,93,,,,,0.0000011,7,7,13
2.30E-06,23,23,91,,,,,0.0000004,0,0,13
3.50E-06,41,41,88,,,,,0.0000006,1,1,13
4.70E-06,54,54,87,,,,,0.0000013,10,10,13
1.30E-06,14,14,89,,,,,0.0000004,0,0,13
3.40E-06,49,49,88,,,,,0.0000012,12,12,13
3.50E-06,50,50,90,,,,,0.0000017,9,9,13
5.00E-07,3,3,92,,,,,0.0000009,5,5,13
5.80E-06,83,83,91,,,,,0.0000003,0,0,13
3.70E-06,49,49,84,,,,,0.0000009,2,2,13
4.30E-06,56,56,88,,,,,0.0000008,6,6,13
9.00E-07,7,7,86,,,,,0.0000008,5,5,13
7.00E-07,4,4,82,,,,,0.0000007,1,1,13
9.00E-07,8,8,83,,,,,0.000001,4,4,13
4.00E-06,57,57,84,,,,,0.0000012,10,10,13
3.40E-06,45,45,85,,,,,0.0000009,6,6,13
2.10E-06,23,23,89,,,,,0.0000011,12,12,13
3.00E-06,41,41,80,,,,,0.0000006,2,2,13
5.00E-06,74,74,75,,,,,0.0000009,7,7,13
1.20E-06,8,8,67,,,,,0.000001,9,9,13
1.30E-06,13,13,67,,,,,0.0000007,1,1,13
7.00E-07,5,5,67,,,,,0.000001,8,8,13
2.40E-06,28,28,64,,,,,0.0000007,5,5,13
2.70E-06,35,35,68,,,,,0.0000013,11,11,13
2.00E-06,26,26,66,,,,,0.0000005,0,0,13
7.00E-07,5,5,66,,,,,0.0000008,3,3,13
1.90E-06,21,21,66,,,,,0.0000015,12,12,13
7.00E-07,5,5,69,,,,,0.0000007,4,4,13
5.00E-07,1,1,68,,,,,0.0000005,1,1,13
2.00E-06,23,23,76,,,,,0.0000014,10,10,14
2.80E-06,30,30,78,,,,,0.0000008,5,5,14
5.10E-06,70,70,81,,,,,0.000001,9,9,14
7.00E-07,3,3,78,,,,,0.0000006,2,2,14
2.30E-06,29,29,76,,,,,0.0000009,6,6,14
1.00E-06,10,10,78,,,,,0.0000007,6,6,14
2.30E-06,21,21,76,,,,,0.0000006,4,4,14
9.00E-07,2,2,77,,,,,0.0000005,0,0,14
