cas operacie,index prvku,dlzka zoznamu,,
2.37E-05,94,94,,
2.68E-05,93,93,,
2.23E-05,94,94,,
2.49E-05,90,90,,
2.78E-05,88,88,,
2.17E-05,88,88,,
2.29E-05,90,90,,
2.09E-05,88,88,,
2.21E-05,87,87,,
2.84E-05,88,88,,
2.33E-05,87,87,,
2.31E-05,88,88,,
2.08E-05,87,87,,
2.36E-05,89,89,,
2.16E-05,88,88,,
2.09E-05,87,87,,
2.48E-05,86,86,,
2.75E-05,88,88,,
2.28E-05,87,87,,
3.35E-05,86,86,,
2.67E-05,86,86,,
2.19E-05,87,87,,
2.05E-05,84,84,,
2.03E-05,82,82,,
2.02E-05,81,81,,
2.19E-05,81,81,,
2.07E-05,80,80,,
2.41E-05,80,80,,
2.03E-05,74,74,,
2.05E-05,75,75,,
2.05E-05,75,75,,
2.01E-05,76,76,,
2.02E-05,75,75,,
2.02E-05,74,74,,
2.48E-05,74,74,,
2.13E-05,74,74,,
2.15E-05,73,73,,
2.07E-05,78,78,,
2.02E-05,77,77,,
2.10E-05,77,77,,
2.09E-05,83,83,,
2.03E-05,81,81,,
2.17E-05,83,83,,
2.07E-05,78,78,,
2.03E-05,78,78,,
2.01E-05,78,78,,
2.05E-05,80,80,,
2.14E-05,79,79,,
2.02E-05,77,77,,
2.02E-05,78,78,,
2.01E-05,78,78,,
2.24E-05,80,80,,
2.17E-05,80,80,,
2.07E-05,80,80,,
2.06E-05,79,79,,
2.04E-05,78,78,,
2.04E-05,77,77,,
2.02E-05,75,75,,
2.82E-05,75,75,,
2.70E-05,73,73,,
2.12E-05,72,72,,
2.02E-05,71,71,,
2.03E-05,70,70,,
2.00E-05,69,69,,
2.00E-05,68,68,,
2.05E-05,72,72,,
2.31E-05,72,72,,
2.93E-05,73,73,,
3.03E-05,78,78,,
2.50E-05,82,82,,
2.44E-05,84,84,,
2.46E-05,89,89,,
2.43E-05,92,92,,
2.28E-05,91,91,,
2.84E-05,90,90,,
2.71E-05,92,92,,
2.18E-05,94,94,,
2.07E-05,91,91,,
2.15E-05,93,93,,
2.11E-05,94,94,,
2.57E-05,96,96,,
2.22E-05,95,95,,
