cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,sum,pocet
8.38E-05,4,4,57,,,
8.48E-05,2,39,57,,,
0.0001383,24,10,61,,,
8.61E-05,21,26,60,,,
8.38E-05,1,43,61,,,
8.37E-05,10,1,61,,,
0.0001254,10,36,58,,,
0.0001072,24,23,58,,,
0.0001064,11,39,60,,,
0.000408,15,30,61,,,
9.09E-05,14,22,61,,,
8.46E-05,15,5,63,,,
8.36E-05,23,41,65,,,
8.39E-05,13,61,66,,,
8.38E-05,29,67,69,,,
9.13E-05,12,10,68,,,
8.90E-05,12,19,64,,,
8.40E-05,35,50,66,,,
8.33E-05,22,59,66,,,
8.38E-05,9,15,68,,,
8.51E-05,9,63,69,,,
8.53E-05,35,14,69,,,
8.42E-05,15,5,70,,,
8.44E-05,1,24,73,,,
8.39E-05,1,52,73,,,
8.78E-05,18,13,74,,,
8.46E-05,8,44,76,,,
8.40E-05,7,13,77,,,
8.33E-05,4,43,79,,,
8.37E-05,8,33,75,,,
8.28E-05,16,65,75,,,
8.32E-05,2,15,76,,,
9.00E-05,4,10,77,,,
8.33E-05,33,3,78,,,
8.51E-05,18,64,76,,,
8.39E-05,32,3,75,,,
8.37E-05,2,28,74,,,
8.34E-05,19,48,74,,,
0.0001193,7,46,78,,,
8.43E-05,30,45,80,,,
8.44E-05,29,39,81,,,
8.37E-05,19,44,83,,,
8.35E-05,7,19,82,,,
8.36E-05,22,38,82,,,
8.34E-05,32,65,83,,,
8.70E-05,17,24,85,,,
8.37E-05,11,50,86,,,
8.37E-05,18,70,82,,,
8.42E-05,8,45,78,,,
0.0001771,28,34,76,,,
8.51E-05,17,68,78,,,
8.37E-05,10,5,77,,,
8.43E-05,22,17,75,,,
8.44E-05,18,1,75,,,
8.38E-05,14,59,73,,,
9.40E-05,10,30,73,,,
8.65E-05,25,27,73,,,
8.44E-05,20,3,71,,,
8.36E-05,14,41,68,,,
8.38E-05,26,3,68,,,
8.36E-05,5,54,68,,,
0.000113,11,2,66,,,
8.37E-05,17,7,63,,,
8.48E-05,7,50,63,,,
8.35E-05,9,57,65,,,
9.14E-05,21,59,66,,,
8.36E-05,7,39,67,,,
8.41E-05,35,7,64,,,
8.43E-05,21,36,65,,,
8.97E-05,3,14,65,,,
8.38E-05,10,20,61,,,
8.77E-05,34,5,60,,,
8.42E-05,26,7,58,,,
8.31E-05,33,56,58,,,
8.36E-05,14,40,59,,,
0.0001153,12,51,60,,,
8.49E-05,33,25,54,,,
0.0001058,7,1,59,,,
8.39E-05,7,13,63,,,
9.11E-05,33,19,65,,,
8.44E-05,19,30,65,,,
9.08E-05,30,33,64,,,
9.09E-05,4,6,61,,,
8.37E-05,7,10,60,,,
0.000172,25,27,60,,,
0.0001414,33,45,59,,,
