cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,sum,pocet
0.0007074,31,31,54,,,,
0.0001357,5,5,52,,,,
0.0009764,43,43,52,,,,
0.000595,22,22,51,,,,
0.0007567,33,33,45,,,,
0.0001558,6,6,44,,,,
0.0007336,32,32,44,,,,
0.000477,20,20,47,,,,
0.0003544,15,15,44,,,,
0.0009541,41,41,47,,,,
0.0001133,4,4,47,,,,
0.0002225,9,9,43,,,,
0.0008204,36,36,41,,,,
0.0009248,40,40,43,,,,
8.85E-05,3,3,43,,,,
0.0002653,11,11,47,,,,
0.0002727,8,8,48,,,,
0.0004934,21,21,48,,,,
0.0003604,15,15,50,,,,
0.0004698,20,20,51,,,,
0.000526,16,16,49,,,,
0.00107,47,47,54,,,,
0.0008206,36,36,63,,,,
0.0012634,53,53,65,,,,
0.0003773,16,16,62,,,,
0.0001567,6,6,63,,,,
0.0007338,32,32,62,,,,
0.0001351,5,5,63,,,,
6.70E-05,2,2,63,,,,
0.0012748,54,54,61,,,,
0.0007395,32,32,60,,,,
0.0006192,27,27,59,,,,
0.0001789,7,7,61,,,,
0.0006745,29,29,62,,,,
0.0005999,26,26,60,,,,
0.0006255,27,27,66,,,,
0.0004862,21,21,65,,,,
0.0004506,19,19,65,,,,
0.0009609,42,42,67,,,,
0.0014031,59,59,68,,,,
0.0004212,18,18,69,,,,
0.0002001,8,8,68,,,,
8.93E-05,3,3,63,,,,
9.29E-05,3,3,64,,,,
0.0006897,29,29,67,,,,
0.0011476,32,32,68,,,,
0.001068,47,47,67,,,,
0.0003995,17,17,69,,,,
0.0001564,6,6,69,,,,
0.0010621,47,47,67,,,,
0.0001772,7,7,64,,,,
0.0010179,45,45,65,,,,
0.0001783,7,7,65,,,,
0.0010657,30,30,63,,,,
0.0003574,15,15,60,,,,
0.0006686,29,29,63,,,,
0.001001,44,44,63,,,,
2.33E-05,0,0,70,,,,
8.87E-05,3,3,69,,,,
0.0002431,10,10,68,,,,
0.0001845,7,7,67,,,,
0.0011101,49,49,68,,,,
0.0001554,6,6,67,,,,
2.28E-05,0,0,67,,,,
0.0008929,39,39,69,,,,
0.0001122,4,4,71,,,,
2.28E-05,0,0,70,,,,
0.000378,16,16,71,,,,
0.001081,48,48,71,,,,
2.30E-05,0,0,70,,,,
0.0005565,23,23,70,,,,
0.0004553,19,19,71,,,,
2.27E-05,0,0,74,,,,
0.000398,17,17,73,,,,
0.0002002,7,7,73,,,,
0.0002901,12,12,70,,,,
7.14E-05,2,2,69,,,,
0.0006017,26,26,68,,,,
0.0004934,21,21,69,,,,
0.0003818,16,16,69,,,,
0.0010183,34,34,74,,,,
0.0009979,44,44,76,,,,
0.000512,22,22,77,,,,
0.0004956,21,21,78,,,,
4.50E-05,1,1,78,,,,
0.0009161,38,38,77,,,,
0.0001115,4,4,77,,,,
0.0004885,21,21,80,,,,
0.0001345,5,5,75,,,,
0.000805,35,35,71,,,,
0.0006675,29,29,70,,,,
0.0008318,36,36,69,,,,
0.0003117,13,13,63,,,,
0.0006872,20,20,60,,,,
0.0005093,20,20,60,,,,
0.0008209,36,36,53,,,,
0.0001256,2,2,49,,,,
6.72E-05,2,2,47,,,,
9.25E-05,3,3,46,,,,
0.0007143,26,26,36,,,,
0.0013855,26,26,33,,,,
0.0001125,4,4,32,,,,
