cas operacie,vybrane cislo,velkost frontu,,,
2.00E-06,3,606,,,
1.70E-06,36,607,,,
1.60E-06,48,607,,,
1.60E-06,37,607,,,
1.80E-06,35,609,,,
1.70E-06,37,609,,,
1.60E-06,33,611,,,
1.50E-06,32,610,,,
1.60E-06,36,609,,,
1.60E-06,25,608,,,
1.70E-06,7,607,,,
1.60E-06,2,607,,,
1.70E-06,20,607,,,
1.60E-06,42,607,,,
1.70E-06,26,609,,,
1.60E-06,30,608,,,
1.70E-06,44,607,,,
1.50E-06,36,606,,,
1.60E-06,15,606,,,
1.60E-06,30,606,,,
1.60E-06,22,605,,,
1.60E-06,49,605,,,
2.10E-06,27,604,,,
1.80E-06,17,604,,,
1.50E-06,37,604,,,
1.60E-06,46,605,,,
1.60E-06,7,604,,,
1.70E-06,47,605,,,
1.50E-06,29,605,,,
1.70E-06,37,606,,,
2.00E-06,2,606,,,
1.60E-06,7,607,,,
1.80E-06,26,607,,,
1.50E-06,48,606,,,
1.60E-06,40,607,,,
1.60E-06,18,608,,,
1.50E-06,44,608,,,
1.80E-06,45,607,,,
1.80E-06,42,617,,,
1.60E-06,15,618,,,
1.90E-06,23,621,,,
2.50E-06,34,620,,,
2.10E-06,41,623,,,
2.20E-06,25,624,,,
2.30E-06,2,626,,,
1.80E-06,21,628,,,
3.60E-06,14,629,,,
2.00E-06,50,631,,,
1.90E-06,14,632,,,
1.70E-06,3,632,,,
1.60E-06,38,632,,,
1.70E-06,21,631,,,
1.90E-06,15,634,,,
1.70E-06,19,634,,,
1.70E-06,5,634,,,
1.60E-06,3,633,,,
1.70E-06,7,634,,,
1.50E-06,50,633,,,
1.70E-06,24,635,,,
1.60E-06,34,634,,,
1.70E-06,12,634,,,
1.70E-06,11,638,,,
1.70E-06,45,637,,,
1.80E-06,36,639,,,
1.60E-06,23,638,,,
2.00E-06,43,640,,,
1.70E-06,47,645,,,
1.70E-06,22,649,,,
1.60E-06,29,649,,,
1.60E-06,21,648,,,
1.60E-06,35,647,,,
1.70E-06,13,648,,,
1.60E-06,47,647,,,
1.70E-06,22,650,,,
1.60E-06,20,653,,,
1.60E-06,30,652,,,
1.60E-06,44,652,,,
1.60E-06,42,651,,,
1.60E-06,9,650,,,
1.60E-06,38,649,,,
1.70E-06,19,651,,,
1.70E-06,40,651,,,
1.70E-06,49,651,,,
1.90E-06,50,656,,,
2.60E-06,27,658,,,
2.10E-06,13,658,,,
2.00E-06,15,660,,,
1.90E-06,29,659,,,
1.70E-06,30,659,,,
1.60E-06,34,658,,,
1.80E-06,29,659,,,
1.60E-06,27,659,,,
1.60E-06,49,658,,,
