cas operacie,vybrane cislo,velkost frontu,,,,,,,
3.88E-05,27,4,,,,,0.0000385,33,9
4.02E-05,18,3,,,,,0.0000395,23,9
2.93E-05,27,3,,,,,0.00004,2,9
2.89E-05,23,2,,,,,0.0000292,14,9
2.93E-05,19,3,,,,,0.0000404,6,9
2.90E-05,3,3,,,,,0.0000338,21,9
2.89E-05,8,3,,,,,0.0000396,32,9
2.96E-05,5,6,,,,,0.0000293,13,9
2.87E-05,14,6,,,,,0.0000297,17,9
4.32E-05,32,6,,,,,0.0000416,26,9
4.17E-05,21,5,,,,,0.0000295,16,9
2.92E-05,32,8,,,,,0.0000288,23,9
2.90E-05,19,7,,,,,0.0005155,25,9
4.35E-05,20,9,,,,,0.000029,24,10
0.000125,1,8,,,,,0.0000331,8,10
0.0001191,28,7,,,,,0.0000293,15,10
0.0001018,9,6,,,,,0.0000296,17,10
2.91E-05,6,7,,,,,0.0000295,15,10
2.89E-05,26,9,,,,,0.0000415,30,10
2.98E-05,29,11,,,,,0.0004596,5,10
2.87E-05,29,11,,,,,0.0000377,34,10
2.93E-05,18,12,,,,,0.0000362,26,10
4.41E-05,5,12,,,,,0.000036,4,10
4.37E-05,31,12,,,,,0.0000291,9,10
4.79E-05,24,12,,,,,0.0000292,17,10
4.09E-05,16,11,,,,,0.0000288,8,10
3.98E-05,17,10,,,,,0.0002609,4,10
3.85E-05,33,9,,,,,0.0001592,27,10
4.25E-05,3,8,,,,,0.0000346,34,10
4.07E-05,28,7,,,,,0.0000301,10,10
3.81E-05,24,7,,,,,0.0000398,17,10
4.18E-05,14,6,,,,,0.0001138,4,10
3.92E-05,17,7,,,,,0.0000294,9,10
3.84E-05,9,6,,,,,0.0000294,9,10
4.14E-05,8,7,,,,,0.0000439,2,10
3.95E-05,23,9,,,,,0.0000292,26,10
3.87E-05,17,8,,,,,0.0002749,14,10
4.00E-05,2,9,,,,,0.0000376,5,10
3.94E-05,25,8,,,,,0.0000411,35,10
3.92E-05,21,7,,,,,0.0000367,11,10
4.19E-05,5,6,,,,,0.0000294,3,10
3.92E-05,31,7,,,,,0.0000292,24,11
4.62E-05,7,13,,,,,0.0000339,27,11
4.60E-05,3,13,,,,,0.0000377,8,11
3.78E-05,22,13,,,,,0.0000294,33,11
4.00E-05,29,12,,,,,0.0000376,3,11
2.96E-05,3,14,,,,,0.0000298,15,11
2.78E-05,7,14,,,,,0.0000297,5,11
2.93E-05,1,13,,,,,0.0000343,28,11
2.90E-05,4,12,,,,,0.0000288,3,11
0.0001094,7,11,,,,,0.0000288,17,11
2.91E-05,27,11,,,,,0.0000424,33,11
0.0001138,4,10,,,,,0.0000298,29,11
2.94E-05,9,10,,,,,0.0000287,29,11
2.92E-05,14,9,,,,,0.0000409,16,11
4.04E-05,6,9,,,,,0.0001094,7,11
2.91E-05,23,8,,,,,0.0000291,27,11
2.87E-05,30,7,,,,,0.000028,31,11
2.89E-05,11,6,,,,,0.0000293,3,11
2.90E-05,33,5,,,,,0.0000307,27,11
2.89E-05,30,4,,,,,0.000035,4,11
2.91E-05,15,5,,,,,0.000028,8,11
2.92E-05,20,4,,,,,0.0000291,10,12
3.06E-05,18,4,,,,,0.0000297,23,12
2.96E-05,26,3,,,,,0.000029,14,12
2.92E-05,23,2,,,,,0.0000299,32,12
2.94E-05,2,1,,,,,0.0000292,10,12
4.13E-05,33,1,,,,,0.0000405,28,12
4.21E-05,26,4,,,,,0.0000384,3,12
3.88E-05,10,3,,,,,0.000039,33,12
3.82E-05,25,4,,,,,0.0000288,21,12
3.68E-05,30,4,,,,,0.0000332,28,12
3.34E-05,1,5,,,,,0.0000337,2,12
2.94E-05,25,4,,,,,0.0000341,26,12
2.89E-05,26,3,,,,,0.0000378,4,12
2.90E-05,18,5,,,,,0.0000289,18,12
2.87E-05,24,4,,,,,0.0000423,5,12
3.78E-05,28,4,,,,,0.00003,4,12
3.32E-05,3,3,,,,,0.0000291,9,12
2.90E-05,10,2,,,,,0.000028,27,12
2.93E-05,18,1,,,,,0.0000289,4,12
2.95E-05,14,3,,,,,0.000092,14,12
3.71E-05,21,3,,,,,0.0000314,25,12
4.33E-05,1,2,,,,,0.0000289,26,12
2.95E-05,14,2,,,,,0.000029,25,12
2.78E-05,14,3,,,,,0.0000452,24,12
2.95E-05,17,2,,,,,0.0000293,18,12
2.91E-05,24,1,,,,,0.0000441,5,12
4.16E-05,31,1,,,,,0.0000437,31,12
2.93E-05,10,5,,,,,0.0000479,24,12
2.91E-05,19,4,,,,,0.00004,29,12
2.89E-05,29,3,,,,,0.000029,4,12
3.33E-05,3,4,,,,,0.0000274,25,12
2.90E-05,26,3,,,,,0.0000296,23,13
2.90E-05,23,4,,,,,0.0000289,27,13
2.96E-05,32,4,,,,,0.0004276,10,13
2.91E-05,21,3,,,,,0.0000358,31,13
2.90E-05,35,2,,,,,0.0000395,35,13
2.90E-05,26,1,,,,,0.0000291,31,13
3.96E-05,35,4,,,,,0.0000291,5,13
2.94E-05,2,4,,,,,0.000029,28,13
2.97E-05,33,4,,,,,0.0000288,7,13
2.94E-05,31,5,,,,,0.0000291,14,13
2.88E-05,31,4,,,,,0.0000292,24,13
