cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,,
1.77E-05,5,11,21,,,,,0.0000184,9,5,12
1.79E-05,5,7,21,,,,,0.0000176,2,3,12
1.78E-05,10,7,22,,,,,0.0000101,15,0,12
1.78E-05,2,1,18,,,,,0.0000179,16,3,12
1.76E-05,13,4,21,,,,,0.0000099,19,0,12
2.01E-05,19,18,20,,,,,0.0000205,2,7,12
1.75E-05,1,2,20,,,,,0.0000181,18,10,12
1.98E-05,19,17,19,,,,,0.000018,12,10,13
1.82E-05,2,3,18,,,,,0.0000181,2,3,13
1.92E-05,14,9,18,,,,,0.000018,9,11,13
1.75E-05,14,1,17,,,,,0.0000185,17,7,13
1.77E-05,2,12,17,,,,,0.0000186,14,5,13
1.80E-05,7,10,17,,,,,0.0000176,20,7,13
1.95E-05,17,16,20,,,,,0.0000195,11,6,13
1.78E-05,6,4,18,,,,,0.0000177,15,6,13
1.95E-05,18,15,22,,,,,0.0000181,1,3,13
1.84E-05,13,5,21,,,,,0.0000178,8,10,13
3.02E-05,19,3,20,,,,,0.0000174,19,4,13
3.48E-05,13,12,21,,,,,0.0000248,14,7,14
1.91E-05,6,21,24,,,,,0.0000175,6,3,14
1.97E-05,4,17,26,,,,,0.000018,9,8,14
1.86E-05,13,7,18,,,,,0.0000179,16,9,14
1.87E-05,20,14,19,,,,,0.0000175,20,4,14
2.37E-05,8,19,22,,,,,0.0000179,18,12,14
1.87E-05,17,11,17,,,,,0.0000175,16,5,14
7.59E-05,3,0,19,,,,,0.0000178,7,8,14
2.05E-05,2,9,21,,,,,0.000019,3,2,14
1.94E-05,4,15,19,,,,,0.0000183,20,4,14
1.96E-05,11,10,23,,,,,0.0000185,5,8,14
1.86E-05,1,1,24,,,,,0.0000184,13,1,14
1.77E-05,6,5,26,,,,,0.0000179,11,8,14
2.22E-05,9,10,27,,,,,0.0000232,4,5,14
2.94E-05,19,22,26,,,,,0.000018,14,6,14
1.93E-05,8,23,28,,,,,0.0000241,18,8,14
1.89E-05,20,8,27,,,,,0.0000181,11,2,14
2.83E-05,16,26,28,,,,,0.0000177,3,9,14
1.01E-05,16,0,26,,,,,0.0000178,20,5,14
1.10E-05,12,0,22,,,,,0.0000175,7,4,14
1.80E-05,1,10,23,,,,,0.0000177,8,10,14
1.82E-05,18,17,19,,,,,0.0000185,11,6,14
1.80E-05,17,13,19,,,,,0.0000178,10,6,15
1.81E-05,5,18,20,,,,,0.0000185,14,7,15
1.81E-05,8,11,20,,,,,0.0000198,9,5,15
1.77E-05,5,2,23,,,,,0.0000191,13,8,15
9.90E-06,16,0,26,,,,,0.0000178,12,11,15
1.84E-05,2,5,27,,,,,0.0000173,1,1,15
1.93E-05,11,4,27,,,,,0.000019,9,12,15
1.89E-05,5,19,28,,,,,0.0000178,14,10,15
1.76E-05,14,6,27,,,,,0.0000182,20,8,15
1.84E-05,3,11,24,,,,,0.0000193,15,3,15
1.83E-05,8,12,26,,,,,0.0000181,14,2,15
1.82E-05,7,20,25,,,,,0.0000176,2,8,15
1.76E-05,18,2,25,,,,,0.0000177,13,4,15
1.95E-05,19,21,26,,,,,0.0000108,10,0,15
1.79E-05,14,8,27,,,,,0.000018,10,13,15
2.08E-05,11,22,28,,,,,0.0000177,13,2,15
1.78E-05,19,9,25,,,,,0.0000195,13,2,15
1.83E-05,3,21,25,,,,,0.0000192,17,5,15
1.98E-05,6,15,21,,,,,0.0000176,9,2,16
1.78E-05,7,5,23,,,,,0.0000182,7,4,16
1.76E-05,9,4,18,,,,,0.0000178,15,13,16
1.78E-05,8,10,18,,,,,0.0000109,6,0,16
1.77E-05,3,2,19,,,,,0.0000179,19,4,16
3.00E-05,5,20,23,,,,,0.0000177,20,5,16
1.82E-05,4,16,23,,,,,0.0000189,8,3,16
1.78E-05,14,7,24,,,,,0.000018,16,10,16
1.79E-05,16,6,23,,,,,0.0000178,2,3,16
2.54E-05,2,9,24,,,,,0.0000177,16,2,16
2.32E-05,2,20,27,,,,,0.0000176,8,1,16
1.83E-05,4,15,28,,,,,0.000018,19,6,16
1.78E-05,20,7,27,,,,,0.0000177,18,4,16
1.78E-05,17,10,29,,,,,0.0000295,16,10,16
1.89E-05,17,25,30,,,,,0.0000197,3,14,16
2.08E-05,15,15,32,,,,,0.0000244,18,4,16
2.41E-05,11,19,35,,,,,0.0000181,13,13,17
1.86E-05,2,33,36,,,,,0.0000186,4,12,17
1.85E-05,3,32,38,,,,,0.0000176,9,6,17
1.75E-05,20,1,39,,,,,0.000019,5,15,17
3.57E-05,20,32,39,,,,,0.0000216,18,14,17
1.90E-05,14,25,40,,,,,0.0000175,14,1,17
1.87E-05,16,32,39,,,,,0.0000177,2,12,17
1.88E-05,1,16,42,,,,,0.000018,7,10,17
6.68E-05,2,17,43,,,,,0.0000187,17,11,17
1.87E-05,19,19,42,,,,,0.0000243,4,2,17
2.02E-05,6,35,41,,,,,0.0000179,5,1,17
1.96E-05,17,6,42,,,,,0.0000227,7,4,17
1.80E-05,2,15,42,,,,,0.0000182,10,10,17
2.95E-05,14,1,38,,,,,0.0000175,17,1,17
2.01E-05,1,23,38,,,,,0.0000177,3,5,17
1.87E-05,5,17,41,,,,,0.0000179,16,10,17
1.86E-05,3,21,41,,,,,0.0000183,13,10,17
1.85E-05,6,7,43,,,,,0.0000179,14,6,17
1.89E-05,9,12,44,,,,,0.0000178,10,10,17
1.97E-05,13,24,40,,,,,0.0000183,13,13,17
1.89E-05,8,15,44,,,,,0.0000179,7,13,17
1.91E-05,6,37,44,,,,,0.0000184,12,7,17
1.81E-05,17,13,41,,,,,0.0000182,12,12,17
1.86E-05,17,31,42,,,,,0.000025,8,6,17
1.86E-05,19,27,47,,,,,0.0000177,9,11,17
1.87E-05,3,27,45,,,,,0.0000179,8,14,17
1.80E-05,7,14,43,,,,,0.0000221,19,8,17
1.90E-05,20,41,44,,,,,0.0001009,2,13,17
1.84E-05,5,21,45,,,,,0.0000179,19,8,17
1.85E-05,3,21,39,,,,,0.0000175,20,1,17
1.77E-05,18,10,35,,,,,0.000018,12,3,17
1.80E-05,14,18,35,,,,,0.0000176,13,2,17
1.83E-05,20,12,29,,,,,0.0000187,3,2,17
1.81E-05,12,2,30,,,,,0.0000188,7,7,17
1.80E-05,1,11,32,,,,,0.0000189,1,2,17
1.84E-05,2,31,33,,,,,0.0000179,13,13,17
