cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,
1.29E-05,3,0,25,,,,0.0000099,7,0,19
1.15E-05,10,0,26,,,,0.0000098,17,0,19
1.00E-05,8,0,26,,,,0.00001,9,0,19
1.06E-05,2,0,24,,,,0.000011,3,0,19
1.00E-05,17,0,22,,,,0.0000107,6,0,19
1.01E-05,3,0,22,,,,0.0000099,11,0,19
1.00E-05,19,0,23,,,,0.0000101,6,0,19
9.90E-06,19,0,24,,,,0.0000101,8,0,19
1.01E-05,19,0,28,,,,0.0000101,1,0,19
1.04E-05,6,0,28,,,,0.0000102,13,0,19
9.90E-06,14,0,29,,,,0.0000101,17,0,19
9.90E-06,20,0,30,,,,0.00001,2,0,19
1.00E-05,12,0,33,,,,0.0000101,7,0,19
9.90E-06,1,0,35,,,,0.0000099,2,0,19
1.54E-05,1,0,35,,,,0.0000101,10,0,19
1.05E-05,8,0,34,,,,0.00001,17,0,19
9.90E-06,16,0,34,,,,0.0000103,17,0,19
1.20E-05,15,0,27,,,,0.0000114,17,0,19
1.47E-05,14,0,28,,,,0.0000152,6,0,19
1.07E-05,19,0,29,,,,0.0000114,5,0,19
1.01E-05,20,0,28,,,,0.0000104,14,0,19
1.01E-05,4,0,32,,,,0.0000101,17,0,19
1.06E-05,19,0,30,,,,0.0000099,11,0,19
1.01E-05,12,0,30,,,,0.0000126,16,0,19
1.02E-05,6,0,31,,,,0.0000115,18,0,19
1.00E-05,10,0,33,,,,0.0000101,8,0,19
1.02E-05,5,0,34,,,,0.000011,20,0,19
1.00E-05,12,0,34,,,,0.0000105,6,0,19
1.01E-05,9,0,34,,,,0.00001,6,0,19
1.03E-05,16,0,33,,,,0.0000113,8,0,19
1.01E-05,1,0,36,,,,0.0000102,4,0,19
9.90E-06,14,0,37,,,,0.0000165,19,0,19
1.01E-05,13,0,36,,,,0.0000102,16,0,19
9.90E-06,1,0,35,,,,0.00001,7,0,19
1.01E-05,3,0,27,,,,0.0000103,13,0,19
1.00E-05,8,0,28,,,,0.0000273,13,0,20
1.04E-05,10,0,24,,,,0.0000108,19,0,20
1.02E-05,13,0,19,,,,0.0000112,10,0,20
1.01E-05,17,0,19,,,,0.0000118,14,0,20
1.00E-05,2,0,19,,,,0.0000105,17,0,20
9.90E-06,14,0,20,,,,0.0000102,15,0,20
1.02E-05,9,0,21,,,,0.0000102,7,0,20
1.00E-05,17,0,22,,,,0.0000115,4,0,20
