cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,,
1.20E-06,7,40,41,,,,,0.0000012,20,7,8
1.20E-06,13,40,41,,,,,0.000002,8,7,8
1.80E-06,4,43,44,,,,,0.0000017,7,7,8
1.40E-06,16,41,42,,,,,0.0000012,2,7,8
1.30E-06,7,37,38,,,,,0.0000012,15,7,8
1.20E-06,11,37,38,,,,,0.0000014,2,7,8
1.40E-06,12,35,36,,,,,0.0000013,17,7,8
1.50E-06,12,36,37,,,,,0.0000011,3,7,8
2.00E-06,2,30,31,,,,,0.0000014,4,7,8
1.60E-06,17,30,31,,,,,0.0000014,11,7,8
1.20E-06,5,28,29,,,,,0.0000012,9,7,8
1.40E-06,9,26,27,,,,,0.0000016,20,8,9
1.30E-06,10,34,35,,,,,0.0000015,7,8,9
1.20E-06,5,33,34,,,,,0.0000012,17,8,9
1.50E-06,4,38,39,,,,,0.0000015,9,8,9
2.40E-06,6,41,42,,,,,0.0000013,5,8,9
1.50E-06,1,38,39,,,,,0.0000013,13,8,9
1.60E-06,8,38,39,,,,,0.0000012,18,8,9
1.40E-06,19,35,36,,,,,0.0000015,1,8,9
1.40E-06,6,39,40,,,,,0.0000013,2,8,9
1.50E-06,20,34,35,,,,,0.0000014,19,8,9
1.50E-06,1,28,29,,,,,0.0000013,13,8,9
2.10E-06,1,26,27,,,,,0.0000014,12,8,9
1.50E-06,6,28,29,,,,,0.0000015,1,8,9
1.70E-06,10,31,32,,,,,0.0000014,6,8,9
2.50E-06,7,33,34,,,,,0.0000015,15,8,9
1.60E-06,12,29,30,,,,,0.0000014,19,8,9
1.40E-06,19,26,27,,,,,0.0000013,8,8,9
1.60E-06,18,23,24,,,,,0.0000016,7,9,10
1.50E-06,12,24,25,,,,,0.0000013,7,9,10
1.40E-06,3,19,20,,,,,0.0000013,15,9,10
1.20E-06,10,20,21,,,,,0.0000021,10,9,10
1.30E-06,11,21,22,,,,,0.0000012,5,9,10
1.20E-06,2,22,23,,,,,0.0000012,16,9,10
1.40E-06,6,20,21,,,,,0.0000014,13,9,10
1.70E-06,10,20,21,,,,,0.0000031,8,9,10
1.30E-06,14,21,22,,,,,0.0000013,8,9,10
1.20E-06,13,22,23,,,,,0.0000016,14,9,10
1.10E-06,2,23,24,,,,,0.0000016,10,9,10
1.60E-06,19,14,15,,,,,0.0000013,15,9,10
1.30E-06,1,15,16,,,,,0.0000015,19,9,10
1.50E-06,7,16,17,,,,,0.0000025,11,9,10
1.50E-06,8,20,21,,,,,0.0000015,2,9,10
1.30E-06,9,16,17,,,,,0.0000013,10,10,11
1.30E-06,11,16,17,,,,,0.0000012,7,10,11
1.20E-06,16,16,17,,,,,0.0000013,8,10,11
1.20E-06,14,17,18,,,,,0.0000012,16,10,11
1.40E-06,2,21,22,,,,,0.0000014,10,10,11
1.30E-06,9,21,22,,,,,0.0000012,20,10,11
1.20E-06,18,20,21,,,,,0.0000014,1,10,11
1.20E-06,9,21,22,,,,,0.0000012,13,10,11
1.20E-06,11,21,22,,,,,0.0000014,11,10,11
1.20E-06,13,22,23,,,,,0.0000014,9,10,11
1.40E-06,20,20,21,,,,,0.0000012,8,10,11
1.20E-06,1,18,19,,,,,0.0000012,3,10,11
1.10E-06,15,19,20,,,,,0.0000013,20,10,11
1.10E-06,4,20,21,,,,,0.0000019,11,10,11
1.10E-06,4,20,21,,,,,0.0000013,9,10,11
1.40E-06,1,22,23,,,,,0.0000014,1,10,11
1.40E-06,1,21,22,,,,,0.0000014,18,10,11
1.20E-06,1,17,18,,,,,0.0000013,4,11,12
1.40E-06,4,14,15,,,,,0.0000017,19,11,12
1.30E-06,10,15,16,,,,,0.0000012,18,11,12
1.20E-06,9,17,18,,,,,0.0000016,8,11,12
1.50E-06,4,18,19,,,,,0.0000014,12,11,12
1.20E-06,15,18,19,,,,,0.0000022,18,11,12
1.10E-06,13,19,20,,,,,0.0000016,8,11,12
1.20E-06,17,20,21,,,,,0.0000019,14,11,12
1.60E-06,7,18,19,,,,,0.0000012,13,11,12
1.50E-06,20,19,20,,,,,0.0000011,12,11,12
1.40E-06,14,19,20,,,,,0.0000016,4,11,12
2.10E-06,19,18,19,,,,,0.0000022,11,11,12
2.40E-06,16,20,21,,,,,0.0000014,1,11,12
1.70E-06,1,22,23,,,,,0.0000012,7,11,12
1.40E-06,17,23,24,,,,,0.0000013,18,12,13
1.50E-06,1,17,18,,,,,0.0000016,6,12,13
1.40E-06,2,17,18,,,,,0.0000012,13,12,13
1.30E-06,11,18,19,,,,,0.0000014,12,12,13
3.10E-06,5,18,19,,,,,0.0000012,15,13,14
1.60E-06,16,16,17,,,,,0.0000013,10,13,14
1.40E-06,16,19,20,,,,,0.0000023,15,13,14
2.40E-06,20,20,21,,,,,0.0000012,16,13,14
1.60E-06,5,21,22,,,,,0.0000012,2,13,14
2.80E-06,6,17,18,,,,,0.0000018,17,13,14
1.30E-06,7,22,23,,,,,0.0000013,13,13,14
1.40E-06,6,24,25,,,,,0.0000013,16,13,14
1.70E-06,7,24,25,,,,,0.0000012,15,13,14
1.80E-06,17,25,26,,,,,0.0000012,20,13,14
1.50E-06,5,27,28,,,,,0.0000014,13,13,14
2.20E-06,7,27,28,,,,,0.0000012,4,13,14
1.40E-06,10,25,26,,,,,0.0000016,19,14,15
1.30E-06,7,19,20,,,,,0.0000012,7,14,15
1.20E-06,18,19,20,,,,,0.0000015,3,14,15
1.90E-06,3,18,19,,,,,0.0000013,17,14,15
1.50E-06,17,18,19,,,,,0.0000013,2,14,15
1.50E-06,7,18,19,,,,,0.0000016,19,14,15
1.20E-06,19,20,21,,,,,0.0000014,4,14,15
1.20E-06,17,21,22,,,,,0.0000011,11,14,15
1.20E-06,8,25,26,,,,,0.0000014,10,14,15
1.90E-06,4,24,25,,,,,0.0000022,12,14,15
1.40E-06,8,25,26,,,,,0.0000012,16,14,15
1.20E-06,5,26,27,,,,,0.0000014,16,14,15
1.40E-06,6,26,27,,,,,0.0000014,9,14,15
1.10E-06,1,25,26,,,,,0.0000012,17,14,15
2.60E-06,3,24,25,,,,,0.0000017,19,14,15
1.30E-06,20,26,27,,,,,0.0000013,7,14,15
1.30E-06,6,26,27,,,,,0.0000022,15,14,15
1.20E-06,4,26,27,,,,,0.0000014,9,14,15
1.80E-06,10,26,27,,,,,0.0000013,7,15,16
1.30E-06,20,26,27,,,,,0.0000016,11,15,16
1.20E-06,15,26,27,,,,,0.0000013,1,15,16
1.10E-06,1,27,28,,,,,0.0000013,10,15,16
1.40E-06,9,20,21,,,,,0.0000016,8,15,16
1.20E-06,4,21,22,,,,,0.0000013,19,15,16
1.60E-06,19,21,22,,,,,0.0000013,3,15,16
2.60E-06,16,22,23,,,,,0.0000012,9,15,16
1.50E-06,8,21,22,,,,,0.0000013,9,15,16
2.50E-06,10,22,23,,,,,0.0000012,8,15,16
1.50E-06,4,22,23,,,,,0.0000015,14,15,16
1.20E-06,2,22,23,,,,,0.0000012,14,15,16
1.10E-06,5,21,22,,,,,0.0000014,16,15,16
1.90E-06,5,21,22,,,,,0.0000018,8,15,16
1.20E-06,7,17,18,,,,,0.0000025,17,15,16
1.40E-06,5,16,17,,,,,0.0000015,10,15,16
1.20E-06,5,17,18,,,,,0.0000012,18,15,16
1.60E-06,3,16,17,,,,,0.0000014,8,15,16
1.30E-06,6,17,18,,,,,0.0000012,19,15,16
1.40E-06,18,18,19,,,,,0.0000013,20,15,16
1.30E-06,12,17,18,,,,,0.0000012,5,15,16
