cas operacie,cislo,index prvku,dlzka zoznamu,,,
1.81E-05,87,4,39,,,
3.79E-05,69,15,38,,,
2.18E-05,42,23,38,,,
1.90E-05,53,21,36,,,
1.93E-05,83,33,36,,,
1.94E-05,64,25,36,,,
1.92E-05,84,18,36,,,
1.88E-05,46,18,36,,,
1.85E-05,56,11,37,,,
1.83E-05,80,7,36,,,
1.90E-05,53,18,37,,,
1.81E-05,84,4,37,,,
1.85E-05,51,7,34,,,
1.84E-05,75,2,34,,,
1.82E-05,88,4,34,,,
2.38E-05,49,7,34,,,
1.87E-05,85,15,33,,,
1.85E-05,63,14,33,,,
1.89E-05,72,26,35,,,
1.86E-05,60,23,32,,,
1.86E-05,82,13,33,,,
1.85E-05,67,17,33,,,
1.84E-05,63,13,33,,,
1.90E-05,51,24,33,,,
1.91E-05,63,29,34,,,
2.26E-05,68,7,34,,,
2.86E-05,80,22,34,,,
1.82E-05,86,7,33,,,
1.81E-05,61,2,30,,,
1.91E-05,49,26,29,,,
1.87E-05,56,21,28,,,
1.83E-05,85,12,28,,,
1.81E-05,89,3,30,,,
1.86E-05,87,22,30,,,
1.90E-05,63,24,30,,,
1.85E-05,89,19,30,,,
1.87E-05,60,10,30,,,
1.82E-05,47,5,27,,,
6.11E-05,48,22,30,,,
2.82E-05,72,1,31,,,
2.76E-05,41,20,32,,,
1.89E-05,63,16,32,,,
1.87E-05,49,14,31,,,
1.87E-05,70,15,30,,,
1.82E-05,73,7,29,,,
1.87E-05,77,21,28,,,
1.85E-05,47,12,28,,,
1.88E-05,71,25,28,,,
1.91E-05,54,25,28,,,
1.83E-05,41,1,29,,,
1.87E-05,82,22,32,,,
1.88E-05,64,27,33,,,
2.45E-05,73,25,31,,,
2.18E-05,70,14,31,,,
2.12E-05,48,4,30,,,
2.08E-05,45,26,29,,,
2.45E-05,44,9,29,,,
1.88E-05,62,9,29,,,
2.06E-05,46,26,28,,,
1.84E-05,62,2,25,,,
1.81E-05,83,1,23,,,
0.0001273,56,16,23,,,
3.39E-05,64,21,23,,,
2.08E-05,60,10,23,,,
1.91E-05,80,19,23,,,
1.86E-05,60,6,28,,,
2.77E-05,63,22,27,,,
1.87E-05,44,22,27,,,
1.88E-05,70,18,28,,,
1.83E-05,78,6,32,,,
1.90E-05,88,16,32,,,
3.31E-05,89,29,32,,,
2.29E-05,59,14,29,,,
2.67E-05,50,27,30,,,
3.31E-05,69,25,30,,,
3.12E-05,49,11,29,,,
2.67E-05,67,23,29,,,
1.92E-05,53,23,28,,,
1.75E-05,57,8,31,,,
1.73E-05,68,4,31,,,
1.78E-05,85,13,31,,,
1.75E-05,77,11,31,,,
1.76E-05,61,16,29,,,
1.80E-05,78,23,34,,,
1.79E-05,70,24,34,,,
1.81E-05,58,30,35,,,
2.83E-05,55,11,35,,,
1.93E-05,52,17,36,,,
1.84E-05,49,8,36,,,
1.83E-05,71,26,36,,,
1.76E-05,56,13,35,,,
1.75E-05,70,9,34,,,
1.75E-05,65,3,34,,,
1.80E-05,46,16,34,,,
1.81E-05,70,29,34,,,
1.80E-05,61,21,34,,,
1.74E-05,78,0,33,,,
1.86E-05,67,28,33,,,
1.78E-05,90,15,32,,,
1.83E-05,57,27,33,,,
1.74E-05,52,1,34,,,
1.84E-05,62,30,33,,,
1.86E-05,46,6,33,,,
2.60E-05,84,8,34,,,
1.78E-05,74,13,35,,,
1.73E-05,58,6,36,,,
1.80E-05,86,16,34,,,
1.73E-05,80,7,35,,,
1.76E-05,45,14,35,,,
1.79E-05,69,24,36,,,
1.77E-05,81,23,36,,,
1.80E-05,73,29,36,,,
1.79E-05,69,16,35,,,
1.76E-05,69,12,35,,,
1.75E-05,73,6,36,,,
1.83E-05,51,18,36,,,
2.31E-05,57,23,36,,,
1.82E-05,72,23,37,,,
1.76E-05,75,16,35,,,
1.84E-05,90,32,36,,,
1.74E-05,80,8,33,,,
1.71E-05,64,5,33,,,
1.85E-05,43,30,34,,,
1.83E-05,47,29,32,,,
3.16E-05,68,9,34,,,
1.94E-05,78,27,34,,,
1.91E-05,81,30,34,,,
1.81E-05,85,32,36,,,
1.76E-05,88,14,36,,,
1.76E-05,87,9,34,,,
1.77E-05,77,16,34,,,
1.76E-05,67,12,33,,,
2.68E-05,41,13,33,,,
1.84E-05,53,11,35,,,
1.89E-05,88,23,35,,,
2.01E-05,62,14,36,,,
4.66E-05,58,28,36,,,
2.41E-05,50,4,36,,,
2.57E-05,44,4,36,,,
1.86E-05,84,22,39,,,
1.85E-05,66,6,39,,,
2.58E-05,60,5,39,,,
1.86E-05,69,19,39,,,
1.82E-05,79,26,40,,,
1.84E-05,51,30,40,,,
